Itn	UB	0	1	2	3	4	5	6	LB	Gap
1	1.18576e+10	-8.09054e+09	-524396	-694833	-534052	-286422	-258456	-299079	3.7645e+09	2.14986
2	1.18575e+10	-4.91984e+08	-1.76448e+11	-1.80804e+11	-1.6789e+07	-296197	-265521	-279969	3.7645e+09	2.14983
3	1.17099e+10	-1.45916e+08	-3.24304e+09	-3.13849e+09	-1.35692e+09	-1.32103e+09	-1.59186e+09	-1.53711e+09	3.7645e+09	2.11062
4	6.07403e+09	-3.29354e+08	-3.1336e+08	-2.46913e+08	-3.06866e+09	-2.64305e+09	-2.72638e+09	-2.15228e+09	3.7645e+09	0.613504
5	6.00049e+09	-3.82672e+08	-3.97591e+08	-2.26305e+08	-2.59101e+08	-2.02387e+08	-1.45487e+08	-1.10793e+08	4.27616e+09	0.403244
6	5.8383e+09	-1.32963e+08	-1.18173e+08	-1.4818e+08	-3.80644e+08	-1.70245e+08	-1.43178e+08	-1.1432e+08	4.6306e+09	0.260809
7	5.7937e+09	-1.73115e+08	-6.42465e+07	-1.20341e+08	-3.27559e+08	-1.78911e+08	-1.41655e+08	-6.99413e+07	4.71794e+09	0.228017
8	5.57049e+09	-7.89134e+07	-1.31487e+08	-7.45625e+07	-2.32889e+08	-1.85009e+08	-1.46305e+08	-7.01279e+07	4.71794e+09	0.180705
9	5.56697e+09	-4.62786e+07	-1.01402e+08	-8.4926e+07	-1.75967e+08	-1.25492e+08	-1.51824e+08	-1.20378e+08	4.7607e+09	0.169359
10	5.53794e+09	-1.17717e+08	-8.78293e+07	-8.15553e+07	-1.13717e+08	-1.93687e+08	-1.04015e+08	-5.46167e+07	4.78481e+09	0.157402
11	5.50027e+09	-8.73593e+07	-1.20529e+08	-1.14842e+08	-1.34895e+08	-1.34522e+08	-1.31921e+08	-5.6694e+07	4.78481e+09	0.149528
12	5.46181e+09	-2.44956e+07	-9.54982e+07	-9.13589e+07	-9.50705e+07	-1.238e+08	-6.51441e+07	-4.50282e+07	4.92141e+09	0.109805
13	5.43183e+09	-5.01246e+07	-1.4343e+08	-7.88483e+07	-1.10752e+08	-7.17445e+07	-6.78889e+07	-4.33794e+07	4.92141e+09	0.103714
14	5.42171e+09	-2.11775e+07	-1.06076e+08	-6.26545e+07	-7.22025e+07	-5.47319e+07	-4.68557e+07	-4.17224e+07	5.01629e+09	0.0808207
15	5.4083e+09	-1.238e+07	-8.13349e+07	-5.1939e+07	-1.04532e+08	-1.0682e+08	-7.22433e+07	-2.27742e+07	5.01629e+09	0.0781466
16	5.3958e+09	-5.91686e+07	-8.08131e+07	-2.76083e+07	-6.72809e+07	-5.59896e+07	-4.97389e+07	-2.27644e+07	5.03244e+09	0.0722043
17	5.3868e+09	-1.80512e+07	-2.26243e+07	-2.02541e+07	-5.63937e+07	-6.48577e+07	-4.33278e+07	-4.48771e+07	5.11642e+09	0.0528467
18	5.36791e+09	-3.2888e+07	-4.04537e+07	-2.46401e+07	-4.28735e+07	-8.90788e+07	-4.73127e+07	-2.95181e+07	5.11642e+09	0.0491553
19	5.35328e+09	-2.50583e+07	-5.94333e+07	-2.46246e+07	-5.06167e+07	-4.97888e+07	-5.46821e+07	-2.6658e+07	5.11642e+09	0.0462956
20	5.34732e+09	-1.18587e+07	-4.08477e+07	-1.40897e+07	-5.56366e+07	-3.95932e+07	-2.53208e+07	-2.12568e+07	5.13872e+09	0.0405944
21	5.3407e+09	-1.33133e+07	-4.02639e+07	-1.28005e+07	-3.77063e+07	-4.45007e+07	-3.30405e+07	-1.75273e+07	5.14154e+09	0.038734
22	5.33532e+09	-1.01983e+07	-2.58712e+07	-7.50633e+06	-2.5888e+07	-4.92435e+07	-1.97323e+07	-1.76269e+07	5.17925e+09	0.030133
23	5.33112e+09	-7.49311e+06	-2.52043e+07	-8.46425e+06	-2.73729e+07	-3.05048e+07	-1.6437e+07	-2.77243e+07	5.18792e+09	0.0276027
24	5.3263e+09	-7.04969e+06	-2.02835e+07	-6.47789e+06	-1.97021e+07	-6.04793e+07	-1.71039e+07	-1.89187e+07	5.18792e+09	0.0266742
25	5.32373e+09	-7.90183e+06	-2.46615e+07	-5.01646e+06	-1.92101e+07	-2.27404e+07	-9.02416e+06	-6.66847e+06	5.2285e+09	0.0182123
26	5.31924e+09	-1.56975e+07	-1.48118e+07	-5.16342e+06	-1.61798e+07	-2.44909e+07	-1.1318e+07	-6.29928e+06	5.2285e+09	0.0173542
27	5.31702e+09	-9.50059e+06	-1.74849e+07	-5.55124e+06	-1.09692e+07	-2.05522e+07	-7.85421e+06	-5.51915e+06	5.23959e+09	0.0147781
28	5.31594e+09	-7.48068e+06	-1.77893e+07	-5.47461e+06	-1.00348e+07	-1.7259e+07	-7.0538e+06	-3.85533e+06	5.24699e+09	0.0131404
29	5.31505e+09	-5.71532e+06	-1.73351e+07	-6.1988e+06	-8.73527e+06	-2.20009e+07	-4.95824e+06	-4.11021e+06	5.24699e+09	0.0129714
30	5.31247e+09	-6.22634e+06	-1.96856e+07	-6.18153e+06	-9.07456e+06	-1.24655e+07	-6.0547e+06	-3.58834e+06	5.24919e+09	0.0120545
31	5.31035e+09	-9.8615e+06	-2.26207e+07	-4.25395e+06	-8.49684e+06	-1.13852e+07	-6.19231e+06	-5.81371e+06	5.24919e+09	0.0116502
32	5.30699e+09	-6.97678e+06	-1.24614e+07	-5.57233e+06	-1.17733e+07	-1.04244e+07	-1.04279e+07	-3.21035e+06	5.24919e+09	0.0110103
33	5.30672e+09	-7.00988e+06	-8.90441e+06	-4.36065e+06	-8.893e+06	-1.53023e+07	-1.01266e+07	-4.11678e+06	5.24919e+09	0.0109603
34	5.3053e+09	-6.92545e+06	-1.11531e+07	-4.81138e+06	-9.07204e+06	-1.3931e+07	-4.45631e+06	-2.55523e+06	5.2524e+09	0.0100724
35	5.30372e+09	-6.45931e+06	-9.94042e+06	-4.69081e+06	-4.82326e+06	-8.36674e+06	-4.64887e+06	-3.10332e+06	5.26169e+09	0.00798844
