Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	LB	Gap
1	1.44538e+10	-8.09018e+09	-373163	-401821	-196496	-187128	-192595	-195012	-120446	-110829	-98926.4	-103091	-97961.8	-105006	-95389.4	-89514.3	-79048.1	-64458.1	-65604.7	-51125	-65718.6	-55131.9	-52492.7	-51178.2	-60506.2	-55709.5	-54348.4	-47044.8	-55104.8	-49898.4	-50066.4	-49772.2	6.36035e+09	1.27249
2	1.44538e+10	-4.98983e+08	-1.72273e+11	-1.68141e+11	-1.08262e+11	-1.12009e+11	-1.10407e+11	-1.12392e+11	-1.02151e+11	-1.04352e+11	-1.08161e+11	-1.07779e+11	-1.02095e+11	-1.04542e+11	-1.03809e+11	-1.06767e+11	-79048.1	-61216.3	-64019.7	-52058.5	-64272.9	-52329.9	-52190.4	-50435.5	-60858.6	-51603.4	-54937.1	-47866.9	-52016.6	-46464.4	-48934.7	-48464.8	6.36035e+09	1.27248
3	1.43156e+10	-1.37601e+08	-8.6531e+09	-1.13244e+10	-1.0542e+10	-9.00251e+09	-9.64587e+09	-6.54277e+09	-9.94546e+09	-8.83856e+09	-9.43445e+09	-7.42072e+09	-9.51823e+09	-7.50413e+09	-7.5049e+09	-5.53834e+09	-1.33657e+08	-1.34143e+08	-1.92707e+08	-1.88133e+08	-1.37638e+08	-1.315e+08	-1.96165e+08	-1.85002e+08	-1.28005e+08	-1.16231e+08	-1.85218e+08	-1.72152e+08	-2.46182e+08	-2.34447e+08	-2.42051e+08	-2.27569e+08	6.36035e+09	1.25076
4	1.2224e+10	-1.43923e+08	-1.44772e+08	-1.2427e+08	-1.27141e+08	-1.27365e+08	-1.25035e+08	-5.2979e+07	-3.65083e+08	-4.29718e+07	-2.61242e+07	-3.83987e+07	-3.04101e+07	-3.88124e+07	-8.81991e+07	-2.52492e+07	-1.37788e+08	-1.27669e+10	-1.49278e+10	-1.2893e+10	-1.23668e+10	-1.14172e+10	-1.3402e+10	-1.18715e+10	-1.23627e+10	-1.24135e+10	-1.28976e+10	-1.28895e+10	-1.33563e+10	-1.23305e+10	-1.23429e+10	-1.132e+10	6.36035e+09	0.921902
5	1.1187e+10	-2.30062e+08	-9.28234e+07	-1.22838e+08	-1.32611e+08	-1.30483e+08	-7.30931e+07	-5.68505e+07	-2.65413e+08	-5.9274e+07	-7.90782e+07	-5.40466e+07	-1.28436e+08	-1.09495e+08	-2.77794e+07	-2.21512e+07	-3.21424e+09	-3.41856e+08	-3.59964e+08	-6.93025e+07	-6.31274e+08	-4.86259e+08	-6.82005e+07	-6.4249e+07	-3.765e+08	-3.14984e+08	-5.60187e+07	-5.76925e+07	-8.23854e+07	-1.95052e+07	-2.56308e+07	-2.53471e+07	6.36035e+09	0.758872
6	1.04611e+10	-1.94502e+08	-1.01799e+08	-1.46242e+08	-2.05459e+08	-2.24466e+08	-1.18242e+08	-7.4229e+07	-9.45037e+07	-7.65857e+07	-1.1026e+08	-5.34976e+07	-1.11756e+08	-5.67374e+07	-3.2838e+07	-2.86379e+07	-3.33228e+08	-4.5288e+07	-1.00624e+08	-1.09572e+08	-1.03928e+08	-1.86256e+08	-1.03511e+08	-9.70958e+07	-1.45113e+08	-8.38449e+07	-5.60842e+07	-4.18966e+07	-6.5093e+07	-3.0826e+07	-1.87084e+07	-1.6849e+07	7.29341e+09	0.43432
7	1.01369e+10	-1.90531e+08	-8.58027e+07	-1.24148e+08	-1.09516e+08	-6.44747e+07	-1.91564e+08	-7.1484e+07	-8.38415e+07	-1.11555e+08	-2.14497e+08	-8.43954e+07	-9.11543e+07	-4.2357e+07	-2.80992e+07	-3.34669e+07	-1.4173e+08	-3.99602e+07	-6.52205e+07	-5.51257e+07	-7.72039e+07	-4.78202e+07	-6.27933e+07	-5.96298e+07	-1.42184e+08	-6.14938e+07	-5.22497e+07	-2.5579e+07	-4.51644e+07	-3.42315e+07	-1.78818e+07	-1.26815e+07	7.66902e+09	0.321793
8	9.9544e+09	-1.50516e+08	-1.26426e+08	-1.05995e+08	-6.35269e+07	-7.83226e+07	-8.20642e+07	-7.12691e+07	-6.01421e+07	-6.85731e+07	-1.51223e+08	-5.43774e+07	-7.46334e+07	-3.91323e+07	-4.21603e+07	-2.78353e+07	-1.09505e+08	-5.5895e+07	-5.58862e+07	-6.35286e+07	-6.21369e+07	-5.4684e+07	-4.31778e+07	-2.57461e+07	-8.06582e+07	-6.0466e+07	-4.83437e+07	-4.47712e+07	-4.3421e+07	-2.29458e+07	-2.03569e+07	-1.24488e+07	7.95423e+09	0.25146
9	9.72864e+09	-1.78751e+08	-3.68599e+07	-1.17205e+08	-4.36861e+07	-8.58705e+07	-7.0308e+07	-4.84063e+07	-4.25819e+07	-5.55563e+07	-1.2077e+08	-6.73067e+07	-4.16675e+07	-7.87757e+07	-3.53564e+07	-3.7898e+07	-5.31001e+07	-6.24376e+07	-4.98684e+07	-3.68091e+07	-4.39289e+07	-6.35881e+07	-3.57643e+07	-1.23755e+07	-5.77215e+07	-6.95973e+07	-3.18489e+07	-1.93376e+07	-3.11244e+07	-1.9198e+07	-2.90964e+07	-1.65542e+07	8.03529e+09	0.210739
10	9.67681e+09	-7.87217e+07	-4.32403e+07	-1.45269e+08	-5.41174e+07	-5.88801e+07	-6.45173e+07	-7.47169e+07	-4.77417e+07	-4.64418e+07	-5.90362e+07	-3.2027e+07	-4.94466e+07	-3.22089e+07	-4.42126e+07	-3.74553e+07	-2.94235e+07	-2.92134e+07	-5.98564e+07	-3.78995e+07	-4.65821e+07	-6.20597e+07	-4.46308e+07	-2.86348e+07	-4.6694e+07	-5.63754e+07	-4.10632e+07	-2.53083e+07	-3.07753e+07	-2.18959e+07	-1.58762e+07	-1.5125e+07	8.21737e+09	0.177605
11	9.58287e+09	-6.82785e+07	-3.45267e+07	-4.91822e+07	-5.19348e+07	-2.76375e+07	-4.3435e+07	-5.14e+07	-7.11329e+07	-4.14979e+07	-2.33499e+07	-3.28907e+07	-4.31154e+07	-4.26055e+07	-2.60704e+07	-2.28028e+07	-3.25169e+07	-5.21154e+07	-5.19668e+07	-2.74887e+07	-4.29162e+07	-5.4762e+07	-4.57613e+07	-1.7118e+07	-4.08177e+07	-2.84574e+07	-3.05346e+07	-1.22392e+07	-3.5535e+07	-3.07864e+07	-2.61218e+07	-3.45036e+07	8.38937e+09	0.142263
12	9.52861e+09	-3.71819e+07	-3.78886e+07	-8.59308e+07	-4.32958e+07	-3.8295e+07	-1.90928e+07	-5.75144e+07	-4.88992e+07	-3.33432e+07	-2.72951e+07	-3.08784e+07	-2.94847e+07	-3.51074e+07	-2.14204e+07	-1.60254e+07	-3.88811e+07	-4.68902e+07	-3.54e+07	-2.28593e+07	-3.26551e+07	-5.50407e+07	-3.68996e+07	-1.97941e+07	-4.0239e+07	-3.48971e+07	-2.79955e+07	-1.76684e+07	-2.33962e+07	-2.88547e+07	-1.3088e+07	-1.95587e+07	8.47284e+09	0.124607
13	9.46209e+09	-6.19417e+07	-5.70529e+07	-4.69087e+07	-3.03391e+07	-4.00262e+07	-2.93403e+07	-2.48112e+07	-3.35502e+07	-3.22458e+07	-2.91663e+07	-3.78799e+07	-1.68322e+07	-2.65197e+07	-2.01596e+07	-3.14605e+07	-4.06451e+07	-3.18706e+07	-3.62109e+07	-3.03294e+07	-3.60461e+07	-4.06734e+07	-2.47183e+07	-1.97642e+07	-5.84417e+07	-2.57711e+07	-2.97137e+07	-1.35237e+07	-2.36243e+07	-2.67177e+07	-1.37601e+07	-2.00691e+07	8.47284e+09	0.116755
14	9.43467e+09	-3.57651e+07	-2.3419e+07	-4.4037e+07	-3.33864e+07	-4.28616e+07	-2.5608e+07	-3.90578e+07	-3.92462e+07	-2.02781e+07	-2.94745e+07	-2.45873e+07	-2.19237e+07	-3.12024e+07	-1.68078e+07	-2.3026e+07	-3.4315e+07	-2.95484e+07	-3.0042e+07	-2.6324e+07	-2.60744e+07	-2.66825e+07	-2.66674e+07	-1.81214e+07	-3.61344e+07	-2.98335e+07	-2.12272e+07	-7.00401e+06	-2.69852e+07	-1.85176e+07	-1.49885e+07	-1.52843e+07	8.59624e+09	0.0975346
15	9.40977e+09	-3.8771e+07	-1.72864e+07	-2.89552e+07	-2.08796e+07	-2.01065e+07	-2.61287e+07	-1.71745e+07	-2.36887e+07	-2.10073e+07	-1.74107e+07	-2.27526e+07	-2.35504e+07	-2.15046e+07	-1.81761e+07	-1.89853e+07	-1.95662e+07	-1.76787e+07	-2.02514e+07	-2.85122e+07	-1.7112e+07	-2.37821e+07	-2.16196e+07	-1.92389e+07	-2.64833e+07	-2.89109e+07	-2.43538e+07	-7.99472e+06	-2.14057e+07	-1.32162e+07	-1.41167e+07	-1.67034e+07	8.75245e+09	0.0751016
16	9.38866e+09	-3.54454e+07	-1.92275e+07	-1.47037e+07	-2.43569e+07	-2.64318e+07	-2.81204e+07	-1.65368e+07	-2.48721e+07	-1.19437e+07	-2.35489e+07	-1.66727e+07	-2.22408e+07	-2.14393e+07	-1.31437e+07	-2.38607e+07	-2.78175e+07	-1.64527e+07	-1.53441e+07	-3.0384e+07	-1.32279e+07	-1.85535e+07	-1.56356e+07	-1.51973e+07	-2.43007e+07	-3.14896e+07	-1.66313e+07	-1.57472e+07	-1.61972e+07	-1.59379e+07	-1.13768e+07	-1.57053e+07	8.76612e+09	0.0710169
17	9.36334e+09	-2.42738e+07	-2.85853e+07	-3.68614e+07	-1.53713e+07	-1.23038e+07	-3.35102e+07	-2.19796e+07	-2.31605e+07	-1.99186e+07	-2.37447e+07	-2.09589e+07	-1.9253e+07	-2.21272e+07	-7.52056e+06	-1.94198e+07	-1.93419e+07	-2.74876e+07	-1.02723e+07	-1.94755e+07	-1.26659e+07	-2.23789e+07	-1.336e+07	-1.20482e+07	-2.5836e+07	-2.78933e+07	-2.00468e+07	-1.59093e+07	-1.46398e+07	-1.82768e+07	-1.09205e+07	-9.94649e+06	8.76612e+09	0.0681281
18	9.33933e+09	-2.10358e+07	-2.67112e+07	-3.82573e+07	-1.84069e+07	-2.63808e+07	-1.92632e+07	-2.3448e+07	-2.02574e+07	-1.79324e+07	-1.61237e+07	-1.60015e+07	-2.64546e+07	-1.58722e+07	-1.48192e+07	-9.36753e+06	-1.65767e+07	-1.14214e+07	-7.69519e+06	-1.40849e+07	-1.11706e+07	-2.12149e+07	-1.23176e+07	-9.74985e+06	-2.15239e+07	-1.69087e+07	-1.71404e+07	-1.176e+07	-1.48751e+07	-1.44955e+07	-1.42096e+07	-1.05617e+07	8.80329e+09	0.0608906
19	9.32502e+09	-1.50091e+07	-3.16132e+07	-2.55841e+07	-1.78461e+07	-9.19798e+06	-1.97592e+07	-1.36281e+07	-2.58979e+07	-1.20259e+07	-1.1297e+07	-1.63916e+07	-2.41286e+07	-1.87143e+07	-2.66509e+07	-1.31781e+07	-1.83191e+07	-1.33009e+07	-8.14491e+06	-1.23816e+07	-1.24287e+07	-1.86023e+07	-1.19679e+07	-1.52401e+07	-1.69438e+07	-1.56476e+07	-1.4003e+07	-1.15371e+07	-9.49903e+06	-1.51348e+07	-1.08308e+07	-1.26534e+07	8.82746e+09	0.0563647
20	9.31214e+09	-1.09803e+07	-1.77794e+07	-1.65408e+07	-9.61687e+06	-1.13141e+07	-1.46468e+07	-2.61977e+07	-2.4219e+07	-1.07483e+07	-1.1491e+07	-1.55553e+07	-1.87107e+07	-1.33804e+07	-2.08278e+07	-1.72419e+07	-1.87685e+07	-9.95206e+06	-4.8012e+06	-1.49159e+07	-1.17174e+07	-1.69328e+07	-1.10308e+07	-1.25808e+07	-1.67592e+07	-1.25819e+07	-1.23494e+07	-1.30503e+07	-8.70105e+06	-8.50473e+06	-9.81114e+06	-8.26693e+06	8.88216e+09	0.0484088
21	9.29695e+09	-3.04162e+07	-1.90555e+07	-1.62732e+07	-1.32464e+07	-1.0931e+07	-1.31024e+07	-1.83223e+07	-1.43555e+07	-1.13271e+07	-1.65655e+07	-1.04502e+07	-2.40242e+07	-1.8894e+07	-2.11239e+07	-2.25065e+07	-1.28628e+07	-1.06006e+07	-2.02915e+06	-1.13634e+07	-7.8076e+06	-9.04667e+06	-9.56915e+06	-1.0066e+07	-1.81868e+07	-1.09023e+07	-1.24061e+07	-9.06261e+06	-1.16303e+07	-1.09074e+07	-7.21639e+06	-6.64433e+06	8.88216e+09	0.0466989
22	9.28886e+09	-2.36897e+07	-2.21146e+07	-1.06785e+07	-9.61197e+06	-4.76288e+06	-1.34368e+07	-1.65042e+07	-7.22658e+06	-1.28865e+07	-1.48841e+07	-1.9405e+07	-1.62507e+07	-9.94929e+06	-1.94236e+07	-1.77101e+07	-9.05064e+06	-7.98559e+06	-2.61485e+06	-9.30174e+06	-8.50789e+06	-1.42482e+07	-5.82301e+06	-7.20736e+06	-1.85833e+07	-1.17425e+07	-1.19277e+07	-1.5428e+07	-1.06997e+07	-8.02494e+06	-5.99147e+06	-9.92707e+06	8.91326e+09	0.0421393
23	9.27811e+09	-6.4424e+06	-1.97638e+07	-1.11761e+07	-7.77825e+06	-1.37135e+07	-1.1051e+07	-1.83644e+07	-1.10174e+07	-1.04138e+07	-1.38184e+07	-1.23423e+07	-2.28816e+07	-8.8816e+06	-1.44968e+07	-1.4992e+07	-8.80844e+06	-1.68606e+07	-2.40894e+06	-1.23225e+07	-6.79419e+06	-1.25309e+07	-8.80108e+06	-9.72496e+06	-1.54186e+07	-1.16568e+07	-1.30976e+07	-1.3518e+07	-9.4638e+06	-9.59334e+06	-6.61478e+06	-7.73516e+06	8.91563e+09	0.040657
24	9.26753e+09	-1.05928e+07	-9.24345e+06	-1.30171e+07	-8.07651e+06	-9.25129e+06	-1.22161e+07	-2.85147e+07	-1.04286e+07	-1.03896e+07	-1.16536e+07	-1.46588e+07	-1.12333e+07	-1.35207e+07	-1.07436e+07	-1.88308e+07	-9.41035e+06	-1.49266e+07	-472894	-1.19887e+07	-5.5773e+06	-1.53744e+07	-6.8334e+06	-9.10787e+06	-1.20277e+07	-7.46682e+06	-5.271e+06	-1.51176e+07	-1.17355e+07	-1.18033e+07	-5.9435e+06	-8.30782e+06	8.92379e+09	0.038519
25	9.25946e+09	-5.26958e+06	-1.41063e+07	-1.24588e+07	-1.38956e+07	-9.37373e+06	-9.72348e+06	-2.6665e+07	-7.52663e+06	-1.47844e+07	-1.409e+07	-9.99609e+06	-1.01236e+07	-1.09569e+07	-9.15725e+06	-1.79314e+07	-9.24168e+06	-8.43141e+06	-590214	-7.58016e+06	-2.81103e+06	-7.74171e+06	-1.09334e+07	-6.776e+06	-1.11366e+07	-7.6299e+06	-6.24705e+06	-1.06551e+07	-1.25767e+07	-8.91126e+06	-6.67229e+06	-6.98218e+06	8.94848e+09	0.0347517
26	9.24926e+09	-6.04654e+06	-1.45916e+07	-1.18375e+07	-1.18478e+07	-8.40633e+06	-1.4988e+07	-1.10127e+07	-6.97929e+06	-7.07486e+06	-1.93767e+07	-1.36434e+07	-9.01774e+06	-9.62605e+06	-1.03481e+07	-1.32191e+07	-8.54586e+06	-8.1063e+06	-355962	-5.86772e+06	-2.37475e+06	-8.68464e+06	-7.6281e+06	-7.26081e+06	-9.60452e+06	-1.01986e+07	-1.40424e+07	-9.10365e+06	-1.20399e+07	-8.29405e+06	-7.40878e+06	-7.81007e+06	8.95392e+09	0.0329846
27	9.23498e+09	-3.71095e+06	-6.10541e+06	-1.41648e+07	-1.05268e+07	-1.66339e+07	-1.40265e+07	-1.58662e+07	-8.11426e+06	-7.08106e+06	-9.43781e+06	-1.07389e+07	-6.999e+06	-1.44432e+07	-7.6411e+06	-1.39272e+07	-5.63296e+06	-1.1771e+07	-735763	-9.33244e+06	-4.68224e+06	-7.08715e+06	-1.02164e+07	-5.99345e+06	-8.01014e+06	-8.12361e+06	-6.64817e+06	-1.14202e+07	-1.20992e+07	-1.127e+07	-7.0388e+06	-8.8288e+06	8.95392e+09	0.0313895
28	9.22643e+09	-6.14193e+06	-6.66476e+06	-1.52593e+07	-4.27847e+06	-8.07646e+06	-1.68318e+07	-2.14906e+07	-8.7661e+06	-5.99956e+06	-9.6756e+06	-1.26977e+07	-1.21121e+07	-1.17775e+07	-5.22151e+06	-1.55108e+07	-5.77032e+06	-4.97166e+06	-705515	-9.78812e+06	-5.28748e+06	-8.90141e+06	-7.58393e+06	-6.67441e+06	-1.16712e+07	-1.13969e+07	-8.96054e+06	-1.13735e+07	-1.04168e+07	-8.86835e+06	-8.15067e+06	-5.66986e+06	8.95392e+09	0.030434
29	9.21717e+09	-4.68627e+06	-1.18793e+07	-8.36233e+06	-7.30644e+06	-1.1614e+07	-7.84943e+06	-1.61824e+07	-4.54793e+06	-3.7849e+06	-8.64865e+06	-9.99757e+06	-9.67336e+06	-9.93773e+06	-7.36311e+06	-1.06444e+07	-2.98178e+06	-1.37691e+06	-458446	-5.90309e+06	-3.93799e+06	-1.03685e+07	-9.23725e+06	-7.56767e+06	-6.87189e+06	-1.07278e+07	-6.41113e+06	-1.12854e+07	-6.13159e+06	-1.13134e+07	-5.33476e+06	-6.9665e+06	8.97782e+09	0.0266604
