Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	LB	Gap
30	9.21043e+09	-1.12725e+07	-8.29083e+06	-9.62816e+06	-6.46471e+06	-4.01911e+06	-8.62748e+06	-1.44609e+07	-4.69912e+06	-6.95431e+06	-1.47132e+07	-1.37207e+07	-8.37235e+06	-1.64091e+07	-8.91386e+06	-1.32461e+07	-3.0896e+06	-2.03529e+06	-717660	-4.21339e+06	-2.28591e+06	-1.05784e+07	-1.08047e+07	-6.16561e+06	-8.39585e+06	-7.99738e+06	-6.96164e+06	-9.80644e+06	-8.91891e+06	-7.08178e+06	-7.27049e+06	-7.85951e+06	8.97782e+09	0.02591
31	9.20423e+09	-6.02662e+06	-6.70959e+06	-1.08575e+07	-8.87518e+06	-3.2551e+06	-8.26118e+06	-8.24064e+06	-3.37099e+06	-1.67071e+06	-1.42908e+07	-1.02192e+07	-7.06327e+06	-1.10966e+07	-5.1175e+06	-1.24399e+07	-2.5732e+06	-1.75407e+06	-239505	-4.71832e+06	-3.84875e+06	-1.24011e+07	-7.73041e+06	-7.24858e+06	-7.24423e+06	-8.47574e+06	-6.97616e+06	-6.03254e+06	-8.4693e+06	-1.03239e+07	-5.53818e+06	-7.7299e+06	8.98544e+09	0.0243504
32	9.19809e+09	-4.64197e+06	-6.02929e+06	-9.21794e+06	-8.63841e+06	-1.6549e+06	-6.153e+06	-1.08363e+07	-2.66115e+06	-5.44252e+06	-1.21124e+07	-1.12179e+07	-7.11707e+06	-1.24268e+07	-9.02134e+06	-1.29594e+07	-2.64679e+06	-1.83828e+06	-201823	-3.04137e+06	-3.95956e+06	-7.3771e+06	-3.61266e+06	-6.64501e+06	-6.48455e+06	-7.71496e+06	-8.27991e+06	-8.59312e+06	-4.98855e+06	-9.39352e+06	-6.92973e+06	-6.75343e+06	8.9895e+09	0.0232038
33	9.19244e+09	-5.57106e+06	-3.58862e+06	-7.04088e+06	-8.20184e+06	-2.92187e+06	-9.31944e+06	-1.31939e+07	-4.09857e+06	-3.11052e+06	-1.24337e+07	-9.67148e+06	-5.51512e+06	-1.10506e+07	-8.93251e+06	-7.43176e+06	-1.95967e+06	-1.7136e+06	-193650	-6.21791e+06	-2.48745e+06	-6.92403e+06	-6.20548e+06	-5.96262e+06	-1.00381e+07	-8.61617e+06	-6.69326e+06	-6.89693e+06	-6.35217e+06	-6.46276e+06	-9.31377e+06	-6.02179e+06	8.9895e+09	0.0225748
34	9.18677e+09	-9.34996e+06	-7.02295e+06	-5.36428e+06	-3.31381e+06	-3.61937e+06	-5.27159e+06	-1.33263e+07	-2.25979e+06	-3.89975e+06	-8.38563e+06	-8.32021e+06	-4.60426e+06	-1.23931e+07	-8.60131e+06	-9.54021e+06	-2.17647e+06	-1.64998e+06	-193447	-3.30123e+06	-3.36024e+06	-1.0905e+07	-4.84885e+06	-6.72941e+06	-7.42748e+06	-8.35698e+06	-8.18586e+06	-6.35577e+06	-4.60919e+06	-5.98733e+06	-3.69541e+06	-3.56555e+06	9.00014e+09	0.0207353
35	9.18055e+09	-6.89546e+06	-8.11061e+06	-5.90844e+06	-1.33008e+06	-2.98421e+06	-8.96445e+06	-7.81645e+06	-2.68123e+06	-1.90108e+06	-6.05496e+06	-8.8293e+06	-1.04213e+07	-1.03543e+07	-7.84222e+06	-1.96781e+07	-1.74418e+06	-969658	-219752	-2.41885e+06	-4.24037e+06	-9.18802e+06	-4.68498e+06	-5.95207e+06	-5.45344e+06	-6.92357e+06	-8.33108e+06	-8.48083e+06	-6.5889e+06	-4.62871e+06	-4.52872e+06	-2.75789e+06	9.00014e+09	0.0200442
36	9.17512e+09	-7.56259e+06	-7.62845e+06	-8.64657e+06	-2.12264e+06	-6.5538e+06	-8.75489e+06	-4.44108e+06	-2.00324e+06	-3.41513e+06	-2.32322e+06	-8.26712e+06	-9.07648e+06	-9.37437e+06	-1.01502e+07	-1.50995e+07	-1.72804e+06	-1.73378e+06	-152755	-3.58826e+06	-2.84736e+06	-7.51709e+06	-4.29084e+06	-8.60555e+06	-4.0799e+06	-5.90857e+06	-7.33514e+06	-8.03305e+06	-8.29436e+06	-6.35049e+06	-4.38305e+06	-3.72009e+06	9.00014e+09	0.0194418
37	9.16904e+09	-3.93807e+06	-6.37703e+06	-1.39915e+07	-1.94746e+06	-5.88364e+06	-1.06935e+07	-1.17098e+07	-2.86643e+06	-4.23607e+06	-3.06728e+06	-8.51504e+06	-3.71161e+06	-7.01015e+06	-5.48224e+06	-6.94698e+06	-1.69419e+06	-1.75677e+06	-210437	-2.60431e+06	-4.09291e+06	-5.25062e+06	-1.87335e+06	-4.94538e+06	-5.2763e+06	-6.07655e+06	-7.13719e+06	-6.20464e+06	-9.36879e+06	-6.40079e+06	-4.48087e+06	-6.65786e+06	9.00014e+09	0.0187657
38	9.16559e+09	-3.22669e+06	-6.70631e+06	-1.64646e+07	-1.80526e+06	-8.68178e+06	-3.33078e+06	-1.02561e+07	-3.13596e+06	-556336	-3.69157e+06	-1.0967e+07	-5.34552e+06	-9.69705e+06	-6.33034e+06	-8.51113e+06	-1.5196e+06	-1.89034e+06	-225856	-3.89408e+06	-2.75192e+06	-4.45734e+06	-2.18868e+06	-5.80277e+06	-5.09909e+06	-5.13921e+06	-8.8142e+06	-7.02142e+06	-7.68227e+06	-8.03864e+06	-3.00563e+06	-6.83657e+06	9.00014e+09	0.0183826
39	9.1619e+09	-6.47308e+06	-2.14749e+06	-1.91624e+06	-3.29536e+06	-3.41946e+06	-1.01551e+07	-1.49355e+07	-1.55602e+06	-2.60092e+06	-2.12609e+06	-9.89676e+06	-4.0897e+06	-1.0692e+07	-8.77991e+06	-6.59136e+06	-720156	-4.28496e+06	-200135	-3.32283e+06	-3.8217e+06	-5.86105e+06	-2.32717e+06	-5.04267e+06	-5.07761e+06	-8.49013e+06	-6.81166e+06	-5.76756e+06	-5.00552e+06	-6.30829e+06	-3.18777e+06	-4.44688e+06	9.00255e+09	0.0177007
40	9.15929e+09	-4.53118e+06	-1.9894e+06	-3.80591e+06	-4.56552e+06	-2.57977e+06	-8.40423e+06	-1.27753e+07	-1.74908e+06	-2.90426e+06	-869881	-7.74553e+06	-5.75982e+06	-1.28973e+07	-8.79891e+06	-2.25943e+06	-1.95301e+06	-1.9879e+06	-533087	-2.78315e+06	-3.3376e+06	-4.49373e+06	-2.80827e+06	-5.22591e+06	-4.73521e+06	-5.9255e+06	-6.23402e+06	-6.83493e+06	-4.37651e+06	-6.44894e+06	-3.62096e+06	-6.17333e+06	9.01018e+09	0.0165488
41	9.15051e+09	-1.1645e+07	-2.76097e+06	-8.57766e+06	-3.4606e+06	-5.14345e+06	-6.15601e+06	-9.94541e+06	-1.9112e+06	-2.49308e+06	-2.59109e+06	-6.33534e+06	-6.53778e+06	-9.72568e+06	-1.03018e+07	-2.03579e+06	-949772	-1.40986e+06	-745721	-2.80001e+06	-1.04616e+06	-6.82834e+06	-3.89251e+06	-5.92041e+06	-3.42525e+06	-5.00536e+06	-5.92532e+06	-5.75195e+06	-3.99415e+06	-6.23095e+06	-3.49544e+06	-4.4778e+06	9.01018e+09	0.0155747
42	9.14647e+09	-7.51934e+06	-2.28548e+06	-5.46872e+06	-3.67553e+06	-2.46891e+06	-1.10144e+07	-1.0047e+07	-1.67541e+06	-2.5845e+06	-2.81863e+06	-6.0551e+06	-4.87535e+06	-1.02499e+07	-8.74056e+06	-1.5824e+06	-1.05251e+06	-1.4999e+06	-1.57799e+06	-2.79713e+06	-198365	-4.84561e+06	-3.57698e+06	-5.42206e+06	-3.36936e+06	-6.90067e+06	-5.24442e+06	-6.1462e+06	-4.13602e+06	-5.77721e+06	-3.31152e+06	-4.18086e+06	9.01018e+09	0.0151256
43	9.13755e+09	-5.16275e+06	-2.60803e+06	-9.63815e+06	-3.50613e+06	-2.53211e+06	-9.51601e+06	-7.10254e+06	-3.14769e+06	-1.969e+06	-3.5113e+06	-2.79698e+06	-8.76369e+06	-9.88834e+06	-8.78632e+06	-4.37773e+06	-733749	-1.67694e+06	-2.24643e+06	-2.58506e+06	-760210	-2.58443e+06	-2.93418e+06	-5.28899e+06	-4.70191e+06	-5.95664e+06	-5.11404e+06	-5.24018e+06	-3.90807e+06	-6.15696e+06	-2.60895e+06	-4.05765e+06	9.01018e+09	0.0141364
44	9.13344e+09	-4.35824e+06	-2.25882e+06	-9.84692e+06	-3.24923e+06	-1.27363e+06	-7.98172e+06	-7.10943e+06	-4.31685e+06	-2.16109e+06	-2.89996e+06	-2.81964e+06	-1.06279e+07	-8.97679e+06	-7.21896e+06	-1.08585e+06	-204968	-1.05193e+06	-2.1226e+06	-2.01764e+06	-732107	-2.58197e+06	-2.85023e+06	-4.35766e+06	-4.5806e+06	-5.2069e+06	-6.61637e+06	-5.45931e+06	-4.28928e+06	-7.72982e+06	-2.57736e+06	-4.17066e+06	9.01018e+09	0.0136793
45	9.13107e+09	-2.94738e+06	-2.3108e+06	-8.95482e+06	-1.23988e+06	-783538	-8.18774e+06	-8.82662e+06	-3.69915e+06	-2.04039e+06	-2.06853e+06	-3.63586e+06	-7.57447e+06	-7.25898e+06	-6.69171e+06	-941222	-449132	-387379	-1.9171e+06	-2.2903e+06	-1.21767e+06	-2.55451e+06	-2.10895e+06	-4.11193e+06	-3.9099e+06	-3.81306e+06	-5.07208e+06	-5.05506e+06	-3.42748e+06	-7.88242e+06	-2.65984e+06	-5.11132e+06	9.01194e+09	0.013219
46	9.1291e+09	-5.18012e+06	-2.17397e+06	-4.79403e+06	-1.81595e+06	-636372	-8.50679e+06	-8.0977e+06	-3.14872e+06	-1.40933e+06	-1.748e+06	-2.76913e+06	-7.41644e+06	-6.21854e+06	-6.80778e+06	-1.69028e+06	-643275	-356319	-494797	-1.05646e+06	-440353	-1.30945e+06	-3.02807e+06	-4.07845e+06	-2.87058e+06	-4.60905e+06	-4.91174e+06	-5.99879e+06	-4.95066e+06	-6.88299e+06	-2.68511e+06	-6.97395e+06	9.0154e+09	0.0126121
47	9.12546e+09	-4.15175e+06	-2.06083e+06	-6.30325e+06	-2.10552e+06	-1.06669e+06	-7.06094e+06	-7.19509e+06	-1.68785e+06	-1.61209e+06	-1.43542e+06	-4.03331e+06	-9.03455e+06	-6.31777e+06	-2.94135e+06	-1.93861e+06	-805052	-300382	-445794	-895501	-361517	-1.06374e+06	-1.20524e+06	-4.93531e+06	-2.64493e+06	-5.10715e+06	-5.2145e+06	-5.78222e+06	-4.11145e+06	-5.93532e+06	-2.50792e+06	-4.30523e+06	9.02089e+09	0.0115916
