Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	LB	Gap
42	9.05989e+09	-1.98281e+07	-5.27799e+06	-1.32944e+07	-5.32933e+06	-5.14743e+06	-8.09946e+06	-1.30725e+07	-2.48105e+06	-5.79332e+06	-8.63414e+06	-6.27451e+06	-1.3334e+07	-1.08419e+07	-7.27503e+06	-7.6384e+06	-2.61441e+06	-1.72541e+06	-2.26421e+06	-5.30207e+06	-2.10342e+06	-5.67754e+06	-2.87253e+06	-3.66173e+06	-4.61637e+06	-9.57083e+06	-1.87969e+06	-5.29891e+06	-5.16827e+06	-5.39289e+06	-6.02495e+06	-3.82232e+06	8.87095e+09	0.0212987
43	9.05502e+09	-1.35425e+07	-4.4723e+06	-6.61442e+06	-3.32893e+06	-4.77298e+06	-7.23492e+06	-1.02532e+07	-3.03289e+06	-4.40845e+06	-1.07102e+07	-6.21583e+06	-1.38329e+07	-1.36547e+07	-9.36814e+06	-7.65871e+06	-2.95861e+06	-1.7836e+06	-2.52749e+06	-4.1034e+06	-1.58968e+06	-6.00488e+06	-2.96663e+06	-2.99964e+06	-4.53317e+06	-8.10398e+06	-3.0302e+06	-4.67519e+06	-6.48499e+06	-4.27325e+06	-6.40569e+06	-5.68161e+06	8.87095e+09	0.0207499
44	9.04805e+09	-5.54838e+06	-7.05712e+06	-7.23753e+06	-3.85624e+06	-5.30042e+06	-5.23552e+06	-1.07041e+07	-2.97924e+06	-5.14143e+06	-7.11957e+06	-7.43227e+06	-1.19421e+07	-1.01835e+07	-8.18639e+06	-9.25334e+06	-1.97823e+06	-2.49058e+06	-2.19648e+06	-4.55818e+06	-2.06421e+06	-5.81723e+06	-3.5543e+06	-2.34881e+06	-4.11632e+06	-7.45993e+06	-3.46408e+06	-4.3456e+06	-4.83175e+06	-3.48286e+06	-4.61257e+06	-4.98891e+06	8.87857e+09	0.0190895
45	9.04373e+09	-8.19535e+06	-3.80732e+06	-7.69696e+06	-3.54595e+06	-4.79839e+06	-5.11812e+06	-8.7503e+06	-3.15937e+06	-4.87815e+06	-5.55952e+06	-6.39464e+06	-1.20683e+07	-1.04739e+07	-7.2218e+06	-6.15064e+06	-1.85269e+06	-2.24722e+06	-2.48724e+06	-2.32797e+06	-2.56874e+06	-4.86366e+06	-2.62308e+06	-1.81154e+06	-4.25178e+06	-7.85657e+06	-2.11928e+06	-5.15931e+06	-3.88084e+06	-4.58207e+06	-4.374e+06	-6.69959e+06	8.8862e+09	0.0177268
46	9.0384e+09	-5.30282e+06	-4.92272e+06	-7.39592e+06	-2.40599e+06	-2.33317e+06	-4.5282e+06	-8.73156e+06	-2.75344e+06	-5.37106e+06	-5.16624e+06	-5.2342e+06	-1.09635e+07	-9.91527e+06	-8.83916e+06	-5.73134e+06	-1.9179e+06	-2.22181e+06	-2.13736e+06	-2.85708e+06	-2.95934e+06	-5.30742e+06	-2.19915e+06	-2.92972e+06	-4.69654e+06	-8.72675e+06	-1.76785e+06	-4.36301e+06	-5.21293e+06	-4.18039e+06	-4.90594e+06	-4.53897e+06	8.88788e+09	0.0169351
47	9.03212e+09	-5.15304e+06	-6.55158e+06	-1.27502e+07	-2.80223e+06	-2.43621e+06	-5.4073e+06	-5.50442e+06	-2.62022e+06	-4.46277e+06	-2.9722e+06	-6.69996e+06	-1.15366e+07	-8.95185e+06	-7.15132e+06	-6.03597e+06	-1.86671e+06	-1.86636e+06	-2.89165e+06	-1.85679e+06	-2.81484e+06	-2.24103e+06	-2.19497e+06	-1.97849e+06	-3.07355e+06	-7.37973e+06	-2.39883e+06	-5.08339e+06	-4.45137e+06	-5.56822e+06	-3.85257e+06	-5.72098e+06	8.88788e+09	0.0162294
48	9.02767e+09	-4.7091e+06	-4.94375e+06	-1.3363e+07	-2.93369e+06	-2.28868e+06	-3.88926e+06	-7.94779e+06	-2.19473e+06	-3.07135e+06	-2.55139e+06	-5.36268e+06	-1.22429e+07	-9.39711e+06	-8.89916e+06	-6.10203e+06	-2.12589e+06	-1.17535e+06	-1.28165e+06	-3.18964e+06	-1.97171e+06	-1.52447e+06	-1.88437e+06	-1.13555e+06	-3.51159e+06	-8.33628e+06	-3.22024e+06	-5.71977e+06	-3.54872e+06	-3.88314e+06	-5.42858e+06	-4.68966e+06	8.88788e+09	0.0157285
49	9.02102e+09	-4.71342e+06	-1.76084e+06	-8.44041e+06	-2.70739e+06	-2.26614e+06	-6.34214e+06	-5.44947e+06	-2.23126e+06	-2.7217e+06	-2.70517e+06	-3.48194e+06	-8.45998e+06	-7.92002e+06	-8.62235e+06	-5.64611e+06	-2.18889e+06	-1.07828e+06	-1.41438e+06	-2.67461e+06	-1.6888e+06	-2.13378e+06	-1.37528e+06	-869362	-4.86933e+06	-8.00133e+06	-3.08704e+06	-5.50083e+06	-3.23627e+06	-2.92699e+06	-4.882e+06	-5.67085e+06	8.89596e+09	0.0140588
50	9.01896e+09	-8.4991e+06	-4.552e+06	-1.02355e+07	-2.92793e+06	-2.22177e+06	-5.74848e+06	-6.60044e+06	-2.08939e+06	-2.13171e+06	-2.0509e+06	-2.42443e+06	-8.64837e+06	-7.33578e+06	-9.00368e+06	-5.4097e+06	-2.10498e+06	-445787	-1.47633e+06	-2.75452e+06	-1.53682e+06	-1.5767e+06	-2.18219e+06	-1.5396e+06	-5.83393e+06	-8.74569e+06	-2.73284e+06	-4.59887e+06	-3.36374e+06	-3.79827e+06	-4.3775e+06	-5.66445e+06	8.89596e+09	0.0138267
51	9.01592e+09	-8.39694e+06	-4.01926e+06	-7.1101e+06	-2.61233e+06	-1.83923e+06	-6.43181e+06	-4.50996e+06	-2.04287e+06	-2.10768e+06	-1.44299e+06	-2.02235e+06	-7.54505e+06	-7.51149e+06	-7.36005e+06	-5.07969e+06	-2.09402e+06	-1.05386e+06	-1.79849e+06	-1.76393e+06	-1.51085e+06	-1.51776e+06	-1.12264e+06	-1.18808e+06	-6.28192e+06	-5.87992e+06	-2.9833e+06	-5.54245e+06	-3.86571e+06	-3.20443e+06	-4.22853e+06	-6.3937e+06	8.89596e+09	0.0134854
52	9.01454e+09	-7.50659e+06	-3.27525e+06	-5.86167e+06	-2.72769e+06	-2.31346e+06	-4.61657e+06	-5.06923e+06	-1.90838e+06	-2.38838e+06	-1.52264e+06	-1.52902e+06	-9.0517e+06	-8.25692e+06	-8.3532e+06	-5.21385e+06	-3.09962e+06	-746683	-1.14484e+06	-1.83889e+06	-1.5779e+06	-1.14164e+06	-943624	-654413	-4.21613e+06	-7.09437e+06	-3.29867e+06	-4.91162e+06	-4.10443e+06	-3.48092e+06	-5.29317e+06	-7.26312e+06	8.89596e+09	0.0133295
53	9.01311e+09	-8.39002e+06	-4.80116e+06	-8.1803e+06	-2.52454e+06	-1.85455e+06	-5.37616e+06	-5.57635e+06	-1.23033e+06	-1.67775e+06	-1.5525e+06	-1.39567e+06	-6.4887e+06	-6.48892e+06	-5.44427e+06	-6.98973e+06	-2.44866e+06	-1.13471e+06	-1.08875e+06	-1.29453e+06	-916923	-872854	-809552	-826372	-3.89909e+06	-5.98662e+06	-2.23371e+06	-4.6887e+06	-3.1569e+06	-3.37464e+06	-4.82337e+06	-2.67159e+06	8.90492e+09	0.0121504
54	9.01105e+09	-8.3426e+06	-4.71883e+06	-1.169e+07	-2.31275e+06	-2.04594e+06	-4.29551e+06	-5.00502e+06	-1.19417e+06	-1.5786e+06	-1.45565e+06	-1.18504e+06	-7.00124e+06	-6.79699e+06	-6.18888e+06	-5.54254e+06	-2.00887e+06	-1.08491e+06	-1.30094e+06	-811060	-1.20868e+06	-689983	-956128	-697270	-3.18143e+06	-5.40512e+06	-2.10787e+06	-5.0508e+06	-2.95316e+06	-2.60812e+06	-4.55096e+06	-3.20857e+06	8.90492e+09	0.011919
55	9.00881e+09	-4.96811e+06	-4.16219e+06	-9.56116e+06	-2.29113e+06	-2.01474e+06	-5.23665e+06	-5.87606e+06	-1.48311e+06	-1.32563e+06	-1.34882e+06	-1.20556e+06	-5.69455e+06	-6.24163e+06	-6.23711e+06	-8.2764e+06	-1.83724e+06	-1.1384e+06	-1.09295e+06	-808540	-1.20068e+06	-518303	-644511	-678811	-3.29893e+06	-6.17037e+06	-2.64976e+06	-4.64838e+06	-3.32737e+06	-2.17984e+06	-3.4677e+06	-3.0295e+06	8.90619e+09	0.0115217
56	9.00572e+09	-4.8432e+06	-4.09172e+06	-1.62141e+07	-2.21756e+06	-2.19141e+06	-4.9617e+06	-4.33659e+06	-1.59577e+06	-1.20699e+06	-1.40263e+06	-1.18904e+06	-6.73536e+06	-5.82344e+06	-5.79386e+06	-5.1554e+06	-1.60777e+06	-1.15775e+06	-951696	-996692	-1.17359e+06	-953044	-929528	-532787	-2.92203e+06	-4.24868e+06	-4.15673e+06	-4.28282e+06	-2.61909e+06	-5.01125e+06	-3.64642e+06	-3.28873e+06	8.90619e+09	0.0111749
57	9.00419e+09	-4.24136e+06	-4.6492e+06	-1.64858e+07	-2.28454e+06	-1.99029e+06	-4.75785e+06	-4.82376e+06	-1.68839e+06	-1.1247e+06	-1.21294e+06	-1.1746e+06	-4.7486e+06	-4.928e+06	-6.19973e+06	-5.2744e+06	-1.98587e+06	-1.13363e+06	-842593	-751037	-1.16976e+06	-896554	-929755	-460480	-2.5598e+06	-3.677e+06	-1.40088e+06	-4.8021e+06	-2.96895e+06	-3.34649e+06	-3.05793e+06	-2.76427e+06	8.90619e+09	0.0110031
58	9.00092e+09	-4.28419e+06	-4.67095e+06	-1.70929e+07	-2.21062e+06	-1.92198e+06	-2.76199e+06	-5.27327e+06	-1.73194e+06	-1.19711e+06	-1.20336e+06	-1.16649e+06	-5.20615e+06	-3.82129e+06	-7.51216e+06	-3.87846e+06	-1.96836e+06	-1.14753e+06	-1.03189e+06	-714316	-1.22422e+06	-776212	-745028	-387582	-2.94645e+06	-2.82051e+06	-1.00611e+06	-3.49734e+06	-2.73417e+06	-2.66175e+06	-3.19734e+06	-3.65596e+06	8.90647e+09	0.0106044
59	9.00027e+09	-4.25081e+06	-4.65611e+06	-1.4734e+07	-2.13952e+06	-1.9147e+06	-2.79143e+06	-4.58175e+06	-1.51532e+06	-1.1673e+06	-1.21545e+06	-1.01804e+06	-5.06764e+06	-4.73648e+06	-5.88323e+06	-3.9468e+06	-2.08857e+06	-1.13359e+06	-1.13766e+06	-713607	-1.29149e+06	-758690	-593687	-424355	-2.49587e+06	-2.83626e+06	-965965	-3.14665e+06	-3.55369e+06	-4.64367e+06	-3.00006e+06	-3.0912e+06	8.90878e+09	0.0102701
60	8.99871e+09	-4.26706e+06	-4.69393e+06	-1.32163e+07	-2.18237e+06	-1.65203e+06	-2.82383e+06	-4.47767e+06	-1.49358e+06	-1.20067e+06	-1.1792e+06	-839162	-5.34482e+06	-3.87039e+06	-6.94677e+06	-6.30513e+06	-1.97333e+06	-1.10886e+06	-2.91821e+06	-710379	-1.35956e+06	-697303	-516984	-427943	-3.07435e+06	-3.06893e+06	-1.02308e+06	-3.43941e+06	-2.66546e+06	-3.44859e+06	-3.34735e+06	-2.39052e+06	8.90878e+09	0.0100955
61	8.99731e+09	-8.37421e+06	-5.43551e+06	-1.13303e+07	-2.14589e+06	-1.84144e+06	-4.35102e+06	-4.84688e+06	-1.54511e+06	-1.19553e+06	-1.10995e+06	-942107	-4.84826e+06	-3.40688e+06	-5.8134e+06	-4.58962e+06	-1.59554e+06	-1.11052e+06	-838118	-703471	-1.22275e+06	-705809	-490593	-420368	-2.90061e+06	-1.59992e+06	-1.04767e+06	-2.49792e+06	-2.6977e+06	-2.94975e+06	-2.54001e+06	-3.04287e+06	8.90917e+09	0.00989314
