Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	LB	Gap
1	1.30871e+10	-8.08961e+09	-559531	-546570	-436985	-358001	-331456	-279741	-195420	-167987	-166329	-176536	-177720	-212905	-163954	-182687	4.99351e+09	1.62082
2	1.3087e+10	-4.96588e+08	-1.42745e+11	-1.46427e+11	-7.6952e+10	-7.41469e+10	-7.6283e+10	-7.69013e+10	-195420	-161990	-149750	-180423	-144784	-202576	-166849	-177315	4.99351e+09	1.6208
3	1.29583e+10	-1.47231e+08	-1.07204e+11	-1.05283e+11	-1.12465e+11	-9.20063e+10	-8.92149e+10	-6.88928e+10	-4.5201e+08	-4.15102e+08	-5.61955e+08	-5.27982e+08	-5.72334e+08	-5.43809e+08	-5.66717e+08	-5.30588e+08	4.99351e+09	1.59503
4	9.0153e+09	-2.50613e+08	-2.54786e+08	-3.00494e+08	-7.84828e+07	-1.51736e+08	-1.02666e+08	-1.05558e+08	-4.06146e+08	-8.72552e+09	-7.77105e+09	-7.75675e+09	-8.66209e+09	-7.72609e+09	-6.88797e+09	-6.0527e+09	4.99351e+09	0.805405
5	8.45985e+09	-1.5584e+08	-6.64066e+07	-6.57108e+07	-1.94529e+08	-6.13423e+07	-5.12878e+07	-7.6602e+07	-1.28127e+09	-1.2561e+08	-1.77507e+08	-1.75379e+08	-1.93624e+08	-1.7463e+08	-1.89487e+08	-1.76601e+08	5.29402e+09	0.598001
6	8.37987e+09	-1.70895e+08	-5.69412e+07	-1.35475e+08	-1.82522e+08	-9.53765e+07	-1.12738e+08	-1.16114e+08	-1.30544e+08	-9.86349e+07	-1.90695e+08	-1.29791e+08	-2.00914e+08	-1.54412e+08	-1.31933e+08	-9.82112e+07	6.37468e+09	0.314557
7	8.0675e+09	-2.53962e+08	-3.38017e+08	-7.77702e+07	-2.45791e+08	-1.03468e+08	-1.94588e+08	-1.42474e+08	-9.6947e+07	-8.84295e+07	-1.78843e+08	-9.54305e+07	-1.6223e+08	-8.75787e+07	-5.81018e+07	-4.38738e+07	6.37468e+09	0.265555
8	7.64291e+09	-1.81129e+08	-1.23144e+08	-2.10121e+08	-1.65099e+08	-8.88603e+07	-8.72307e+07	-1.55601e+08	-1.63888e+08	-6.99884e+07	-1.37569e+08	-9.35237e+07	-8.51558e+07	-6.60916e+07	-4.41694e+07	-2.93461e+07	6.37468e+09	0.198948
9	7.50682e+09	-1.12036e+08	-6.91951e+07	-5.78995e+07	-1.79431e+08	-9.35762e+07	-8.19514e+07	-1.14156e+08	-1.05853e+08	-1.31202e+08	-9.26284e+07	-5.41196e+07	-6.19015e+07	-5.64636e+07	-6.43128e+07	-2.41834e+07	6.37468e+09	0.177601
10	7.40793e+09	-9.10411e+07	-1.89896e+08	-8.0679e+07	-8.26233e+07	-8.54429e+07	-5.29201e+07	-7.5173e+07	-8.15896e+07	-7.5951e+07	-8.11626e+07	-4.46021e+07	-4.89945e+07	-4.96743e+07	-4.50713e+07	-2.69124e+07	6.37468e+09	0.162088
11	7.3757e+09	-9.01876e+07	-5.03027e+07	-3.72779e+07	-6.05902e+07	-8.5641e+07	-8.48506e+07	-6.8339e+07	-6.58476e+07	-7.72439e+07	-6.72475e+07	-6.7013e+07	-6.85555e+07	-4.20312e+07	-3.76754e+07	-3.0577e+07	6.44232e+09	0.144883
12	7.3476e+09	-9.25549e+07	-2.8068e+07	-5.77423e+07	-6.15021e+07	-5.48486e+07	-6.90732e+07	-4.85207e+07	-5.54633e+07	-3.91875e+07	-6.296e+07	-3.14651e+07	-5.42225e+07	-5.51173e+07	-3.82114e+07	-3.00346e+07	6.56862e+09	0.11859
