Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	LB	Gap
13	7.32981e+09	-8.25716e+07	-4.07138e+07	-5.75001e+07	-2.51909e+07	-7.59846e+07	-7.96127e+07	-4.62487e+07	-6.1231e+07	-6.17207e+07	-6.77755e+07	-3.13152e+07	-4.70419e+07	-4.89373e+07	-4.22233e+07	-4.38978e+07	6.56862e+09	0.115882
14	7.30164e+09	-5.94409e+07	-2.80751e+07	-6.25221e+07	-6.01224e+07	-3.75002e+07	-6.32862e+07	-4.38625e+07	-6.06882e+07	-5.07242e+07	-5.12488e+07	-3.87244e+07	-5.59858e+07	-4.5191e+07	-4.20824e+07	-3.78838e+07	6.56862e+09	0.111593
15	7.28415e+09	-6.96128e+07	-4.45009e+07	-4.04071e+07	-6.45516e+07	-2.68865e+07	-4.50842e+07	-4.18967e+07	-4.33481e+07	-4.51693e+07	-3.90062e+07	-2.90308e+07	-3.52582e+07	-4.76722e+07	-3.18025e+07	-2.35023e+07	6.65642e+09	0.0943043
16	7.26299e+09	-1.31244e+07	-4.2049e+07	-1.01818e+07	-4.97532e+07	-3.04589e+07	-4.94181e+07	-2.65339e+07	-4.19968e+07	-3.9368e+07	-3.6199e+07	-3.93825e+07	-3.624e+07	-4.20359e+07	-2.12642e+07	-2.94084e+07	6.75558e+09	0.0751104
17	7.25322e+09	-2.33123e+07	-4.30281e+07	-1.39288e+07	-3.12927e+07	-3.34841e+07	-2.73789e+07	-2.77448e+07	-4.28483e+07	-3.29628e+07	-2.28071e+07	-3.50125e+07	-4.17309e+07	-3.40452e+07	-2.84777e+07	-3.04474e+07	6.78472e+09	0.0690524
18	7.24305e+09	-1.84967e+07	-2.0218e+07	-1.41642e+07	-3.85204e+07	-4.0997e+07	-4.20665e+07	-1.60977e+07	-3.63781e+07	-3.11996e+07	-2.82826e+07	-2.24183e+07	-3.00409e+07	-2.59991e+07	-2.85183e+07	-2.08534e+07	6.8288e+09	0.0606623
19	7.2377e+09	-1.3861e+07	-1.77178e+07	-1.63402e+07	-3.44946e+07	-4.04912e+07	-3.90146e+07	-1.70639e+07	-3.13849e+07	-2.58354e+07	-2.33454e+07	-1.83946e+07	-2.92157e+07	-2.32467e+07	-2.33533e+07	-1.94006e+07	6.86454e+09	0.0543606
20	7.23213e+09	-1.2756e+07	-1.61938e+07	-1.00591e+07	-2.2876e+07	-2.66582e+07	-2.92397e+07	-1.8748e+07	-2.4486e+07	-3.22027e+07	-2.32051e+07	-2.38899e+07	-1.46125e+07	-2.59018e+07	-3.11604e+07	-2.09724e+07	6.89916e+09	0.0482612
21	7.22729e+09	-9.62873e+06	-2.81373e+07	-8.65262e+06	-2.60818e+07	-1.91267e+07	-1.56298e+07	-1.96669e+07	-1.68225e+07	-3.6199e+07	-3.1742e+07	-1.52873e+07	-2.27537e+07	-2.65335e+07	-2.26455e+07	-1.56433e+07	6.91274e+09	0.045503
22	7.22093e+09	-9.18835e+06	-2.34308e+07	-1.06651e+07	-1.05956e+07	-2.05684e+07	-3.85022e+07	-2.4205e+07	-1.35087e+07	-1.96603e+07	-2.67509e+07	-1.97563e+07	-2.40284e+07	-2.52132e+07	-2.32626e+07	-1.33296e+07	6.91827e+09	0.0437487
23	7.21662e+09	-8.49943e+06	-1.71029e+07	-9.37521e+06	-1.44815e+07	-2.31033e+07	-3.03371e+07	-1.77567e+07	-1.86618e+07	-2.27508e+07	-2.40621e+07	-1.58669e+07	-1.70306e+07	-2.50686e+07	-1.44739e+07	-1.93372e+07	6.93871e+09	0.0400518
24	7.2104e+09	-1.10703e+07	-2.46103e+07	-1.17043e+07	-2.56836e+07	-8.64927e+06	-2.69079e+07	-2.02387e+07	-1.26867e+07	-1.66902e+07	-1.38163e+07	-2.1325e+07	-1.83916e+07	-2.72687e+07	-2.07726e+07	-1.53873e+07	6.93871e+09	0.0391553
25	7.20523e+09	-1.36829e+07	-2.21458e+07	-1.10486e+07	-1.18621e+07	-1.05378e+07	-2.38716e+07	-1.81373e+07	-1.41643e+07	-1.3971e+07	-1.44798e+07	-2.28065e+07	-2.11817e+07	-1.77202e+07	-2.29113e+07	-1.67063e+07	6.95e+09	0.0367233
26	7.20036e+09	-7.20173e+06	-2.187e+07	-1.0307e+07	-2.1767e+07	-1.102e+07	-2.01139e+07	-1.59225e+07	-9.52176e+06	-1.58202e+07	-2.01691e+07	-1.59796e+07	-1.51464e+07	-1.61635e+07	-2.19259e+07	-1.27658e+07	6.96467e+09	0.0338415
27	7.19424e+09	-1.12004e+07	-1.15089e+07	-1.3525e+07	-1.78576e+07	-1.41497e+07	-2.70397e+07	-1.56282e+07	-1.47232e+07	-1.44014e+07	-2.11536e+07	-1.85852e+07	-1.08889e+07	-1.81944e+07	-1.24964e+07	-1.1735e+07	6.96467e+09	0.0329624
28	7.19047e+09	-7.1898e+06	-1.05448e+07	-2.08325e+07	-1.84959e+07	-1.67429e+07	-1.38686e+07	-1.09704e+07	-1.03363e+07	-1.76342e+07	-1.03695e+07	-1.98351e+07	-7.27844e+06	-2.01237e+07	-1.21611e+07	-1.67026e+07	6.97739e+09	0.0305395
29	7.18627e+09	-7.98304e+06	-1.39116e+07	-1.38516e+07	-9.42938e+06	-1.09156e+07	-2.50892e+07	-1.46891e+07	-1.15763e+07	-1.16819e+07	-5.52191e+06	-1.49889e+07	-1.80791e+07	-1.23757e+07	-1.65715e+07	-1.25086e+07	6.9871e+09	0.0285059
30	7.18125e+09	-5.80991e+06	-1.04111e+07	-1.93214e+07	-1.24384e+07	-6.94677e+06	-2.33756e+07	-1.65794e+07	-1.37962e+07	-1.33292e+07	-8.12389e+06	-1.24338e+07	-8.10911e+06	-1.60503e+07	-1.78574e+07	-1.08391e+07	6.9871e+09	0.0277877
31	7.17529e+09	-7.84147e+06	-1.30206e+07	-1.18624e+07	-9.11813e+06	-1.27164e+07	-1.48417e+07	-1.49489e+07	-8.89113e+06	-1.12129e+07	-1.10895e+07	-1.32571e+07	-8.11061e+06	-1.75101e+07	-1.47099e+07	-1.28657e+07	6.99329e+09	0.0260244
32	7.16916e+09	-5.63285e+06	-2.02557e+07	-1.86385e+07	-9.49964e+06	-1.22247e+07	-1.09704e+07	-8.88294e+06	-1.04575e+07	-7.95235e+06	-6.27166e+06	-1.16031e+07	-9.28135e+06	-1.31967e+07	-2.00948e+07	-1.32408e+07	6.99329e+09	0.0251486
33	7.16512e+09	-6.67552e+06	-1.61859e+07	-1.38245e+07	-9.10098e+06	-4.17055e+06	-1.32489e+07	-6.32856e+06	-5.3031e+06	-1.09111e+07	-6.3085e+06	-1.46438e+07	-4.62046e+06	-1.5476e+07	-1.02048e+07	-1.04694e+07	7.01765e+09	0.0210145
34	7.16296e+09	-7.19053e+06	-1.40879e+07	-1.57328e+07	-7.66661e+06	-7.36744e+06	-1.25199e+07	-6.7479e+06	-7.81352e+06	-1.24292e+07	-5.32209e+06	-1.50529e+07	-8.13214e+06	-1.28526e+07	-1.07274e+07	-8.94235e+06	7.01765e+09	0.0207059
35	7.16005e+09	-7.21928e+06	-1.14575e+07	-1.25784e+07	-7.29486e+06	-1.04872e+07	-1.41775e+07	-7.01226e+06	-5.02245e+06	-8.35047e+06	-5.69238e+06	-8.66895e+06	-4.97363e+06	-1.05979e+07	-1.16703e+07	-7.80784e+06	7.02704e+09	0.0189284
36	7.15646e+09	-6.42946e+06	-1.44982e+07	-9.74807e+06	-8.61942e+06	-1.2214e+07	-9.47625e+06	-5.48534e+06	-5.98988e+06	-1.37918e+07	-4.1454e+06	-1.10256e+07	-4.71197e+06	-1.75323e+07	-9.59985e+06	-9.45255e+06	7.02704e+09	0.0184177
37	7.15314e+09	-1.14114e+07	-1.28713e+07	-1.60325e+07	-7.61918e+06	-4.62724e+06	-7.89258e+06	-5.09536e+06	-4.8541e+06	-1.81428e+07	-4.01146e+06	-1.43195e+07	-5.98204e+06	-1.20974e+07	-1.34288e+07	-9.99874e+06	7.02704e+09	0.0179445
38	7.14763e+09	-1.17595e+07	-1.21963e+07	-6.5746e+06	-1.5418e+07	-6.82004e+06	-1.10291e+07	-1.31899e+07	-3.63299e+06	-1.22558e+07	-5.4152e+06	-1.10494e+07	-6.09963e+06	-1.56835e+07	-7.77204e+06	-1.0203e+07	7.02704e+09	0.0171609
39	7.14616e+09	-1.15348e+07	-9.51581e+06	-6.21662e+06	-1.23694e+07	-9.53742e+06	-7.81794e+06	-9.32407e+06	-5.68222e+06	-8.94043e+06	-4.13085e+06	-1.14575e+07	-4.31014e+06	-1.11126e+07	-1.23759e+07	-7.53002e+06	7.02704e+09	0.0169515
40	7.14443e+09	-1.81721e+07	-4.71967e+06	-7.84668e+06	-6.91727e+06	-9.35294e+06	-6.38288e+06	-7.49006e+06	-3.69667e+06	-8.12888e+06	-3.14027e+06	-8.70223e+06	-1.05378e+07	-9.35984e+06	-8.88531e+06	-9.63477e+06	7.02704e+09	0.016705
41	7.14259e+09	-6.99003e+06	-7.55908e+06	-5.44098e+06	-8.05811e+06	-9.40641e+06	-6.14568e+06	-9.13917e+06	-5.09043e+06	-1.15255e+07	-3.55242e+06	-9.04463e+06	-5.64215e+06	-1.57828e+07	-6.44812e+06	-1.2311e+07	7.02704e+09	0.0164432
42	7.14029e+09	-1.55245e+07	-6.0897e+06	-3.93592e+06	-8.04224e+06	-6.56686e+06	-1.03394e+07	-4.2756e+06	-4.85703e+06	-7.35142e+06	-3.43666e+06	-8.815e+06	-3.83533e+06	-8.16506e+06	-5.97481e+06	-6.98373e+06	7.0361e+09	0.0148084
43	7.13792e+09	-1.44144e+07	-6.58785e+06	-4.29838e+06	-6.10869e+06	-5.32451e+06	-9.81723e+06	-3.41416e+06	-2.85351e+06	-6.88773e+06	-3.5297e+06	-7.77506e+06	-2.85823e+06	-1.02637e+07	-5.02448e+06	-6.43511e+06	7.04233e+09	0.013574
44	7.13478e+09	-6.73259e+06	-6.09522e+06	-3.66332e+06	-7.33123e+06	-6.49855e+06	-6.99322e+06	-3.48164e+06	-2.17569e+06	-8.86789e+06	-3.88504e+06	-7.06134e+06	-6.40548e+06	-6.48882e+06	-5.8764e+06	-5.38345e+06	7.04784e+09	0.0123357
45	7.13046e+09	-1.0702e+07	-5.78973e+06	-7.0469e+06	-7.54656e+06	-8.60439e+06	-6.02125e+06	-2.9694e+06	-4.00062e+06	-7.90179e+06	-2.85999e+06	-6.65624e+06	-2.40904e+06	-7.66837e+06	-7.85105e+06	-4.36357e+06	7.04784e+09	0.0117232
46	7.12111e+09	-1.07924e+07	-4.76227e+06	-3.79124e+06	-6.83626e+06	-5.2368e+06	-7.28652e+06	-3.92459e+06	-1.50696e+06	-4.74198e+06	-3.23396e+06	-4.08103e+06	-3.02383e+06	-7.23609e+06	-5.54471e+06	-1.75533e+06	7.04784e+09	0.0103963
47	7.12095e+09	-7.33397e+06	-6.15758e+06	-3.84335e+06	-7.54041e+06	-4.13112e+06	-7.29018e+06	-3.51807e+06	-2.60149e+06	-5.18851e+06	-2.74207e+06	-3.95893e+06	-2.73038e+06	-7.5062e+06	-5.55491e+06	-1.87579e+06	7.04898e+09	0.0102104
48	7.11743e+09	-8.0076e+06	-4.95428e+06	-4.5282e+06	-6.19406e+06	-2.19886e+06	-7.22582e+06	-5.63155e+06	-2.96898e+06	-5.7438e+06	-2.70781e+06	-3.81905e+06	-2.03509e+06	-6.93116e+06	-4.44326e+06	-2.15086e+06	7.04898e+09	0.00971085
