Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	LB	Gap
11	1.19465e+10	-8.80361e+07	-1.56219e+08	-7.74857e+07	-5.43695e+07	-7.61496e+07	-7.11949e+07	-4.34658e+07	-2.54651e+07	-4.02555e+07	-3.52475e+07	-3.72467e+07	-3.72804e+07	-4.02299e+07	-6.68657e+07	-2.54313e+07	-2.00047e+07	-4.67466e+07	-1.87215e+07	-1.75641e+07	-2.09517e+07	-3.66153e+07	-1.81055e+07	-1.3234e+07	-4.0473e+07	-2.49121e+07	-2.26638e+07	-1.54396e+07	-3.4494e+07	-8.89984e+06	-2.72374e+07	-9.89711e+06	-2.10492e+07	-3.13105e+07	-4.06853e+07	-1.81004e+07	-3.87395e+07	-2.31117e+07	-1.81981e+07	-2.80166e+07	-4.15999e+07	-1.93707e+07	-1.7722e+07	-5.89416e+06	-2.23627e+07	-1.72072e+07	-2.01465e+07	-1.16602e+07	-2.72754e+07	-1.68501e+07	-1.55107e+07	-3.11744e+07	-2.17198e+07	-1.75321e+07	-2.20324e+07	-1.71285e+07	-1.77066e+07	-1.51698e+07	-1.48859e+07	-8.42453e+06	-1.60311e+07	-1.52459e+07	-9.11602e+06	-9.30929e+06	1.02529e+10	0.16518
12	1.17878e+10	-6.62982e+07	-8.29419e+07	-5.53074e+07	-4.41052e+07	-2.83143e+07	-3.96567e+07	-1.36617e+07	-2.98214e+07	-4.13226e+07	-2.86954e+07	-2.19882e+07	-4.05896e+07	-3.34932e+07	-6.88963e+07	-3.86746e+07	-1.60411e+07	-3.06324e+07	-2.58454e+07	-1.40685e+07	-1.74179e+07	-2.57755e+07	-2.11693e+07	-2.04002e+07	-2.62877e+07	-2.69876e+07	-2.00277e+07	-7.26888e+06	-1.94587e+07	-1.81521e+07	-1.30675e+07	-1.12868e+07	-1.72683e+07	-1.92076e+07	-2.53594e+07	-2.11108e+07	-2.64777e+07	-1.47985e+07	-1.97466e+07	-1.35487e+07	-2.08085e+07	-2.10804e+07	-2.18116e+07	-9.42746e+06	-1.99055e+07	-1.06636e+07	-2.48343e+07	-1.50487e+07	-3.28638e+07	-2.41794e+07	-1.34254e+07	-1.80159e+07	-2.11231e+07	-1.82184e+07	-2.02651e+07	-1.12141e+07	-1.63839e+07	-1.84278e+07	-1.75667e+07	-4.58557e+06	-1.30748e+07	-1.09125e+07	-1.3056e+07	-8.33148e+06	1.02774e+10	0.146963
13	1.16948e+10	-6.43624e+07	-6.21534e+07	-1.13059e+08	-3.86419e+07	-2.07066e+07	-3.10315e+07	-2.57048e+07	-3.64323e+07	-3.71395e+07	-2.92888e+07	-2.2264e+07	-2.82582e+07	-2.26949e+07	-2.86227e+07	-2.22542e+07	-2.65871e+07	-2.13948e+07	-1.855e+07	-2.23264e+07	-1.89161e+07	-1.51475e+07	-9.81653e+06	-1.8879e+07	-3.13677e+07	-2.30315e+07	-1.08146e+07	-1.43784e+07	-3.51837e+07	-1.05994e+07	-1.70003e+07	-1.30929e+07	-1.47407e+07	-1.67325e+07	-2.04933e+07	-2.0198e+07	-2.16617e+07	-1.70222e+07	-1.84051e+07	-1.04191e+07	-2.36585e+07	-1.54412e+07	-1.91028e+07	-1.44766e+07	-1.65972e+07	-1.37609e+07	-1.92109e+07	-8.80234e+06	-1.80786e+07	-2.31123e+07	-1.73366e+07	-1.72544e+07	-1.67611e+07	-1.60166e+07	-1.4604e+07	-1.23692e+07	-1.22832e+07	-1.17233e+07	-1.27973e+07	-4.77817e+06	-1.1596e+07	-9.93953e+06	-6.70231e+06	-5.98332e+06	1.03231e+10	0.132883
14	1.16299e+10	-3.17686e+07	-6.03072e+07	-5.14628e+07	-2.80392e+07	-2.81654e+07	-4.40063e+07	-1.796e+07	-1.84221e+07	-2.38069e+07	-2.05917e+07	-1.34354e+07	-2.54168e+07	-2.21894e+07	-1.66786e+07	-2.73395e+07	-2.5979e+07	-4.1399e+07	-1.60546e+07	-3.5448e+07	-1.78679e+07	-1.15914e+07	-1.16557e+07	-1.78518e+07	-2.83591e+07	-2.13771e+07	-2.17473e+07	-1.17078e+07	-2.3286e+07	-1.03538e+07	-1.51268e+07	-1.82076e+07	-2.09555e+07	-1.83571e+07	-3.4674e+07	-1.36855e+07	-3.05408e+07	-1.60492e+07	-2.04506e+07	-1.8975e+07	-1.32564e+07	-1.54664e+07	-2.0487e+07	-1.46108e+07	-1.53456e+07	-1.31688e+07	-1.48964e+07	-7.5309e+06	-2.35637e+07	-1.88234e+07	-1.72063e+07	-1.22074e+07	-1.16769e+07	-1.58445e+07	-1.28038e+07	-6.85532e+06	-8.95266e+06	-1.22788e+07	-1.18652e+07	-5.90776e+06	-1.14531e+07	-5.69632e+06	-3.90657e+06	-8.4453e+06	1.03963e+10	0.118652
15	1.15558e+10	-2.28879e+07	-2.69148e+07	-3.96994e+07	-3.27397e+07	-2.65185e+07	-4.23735e+07	-1.89223e+07	-1.64268e+07	-2.74934e+07	-3.03769e+07	-1.05467e+07	-2.55193e+07	-1.39094e+07	-2.35257e+07	-1.33376e+07	-2.75051e+07	-2.3019e+07	-1.66599e+07	-9.10894e+06	-1.71237e+07	-1.4748e+07	-8.17847e+06	-1.75018e+07	-2.03613e+07	-1.2455e+07	-1.39416e+07	-1.06688e+07	-1.39991e+07	-9.47003e+06	-1.18653e+07	-6.11405e+06	-1.19388e+07	-1.7894e+07	-1.52032e+07	-1.59333e+07	-1.56714e+07	-1.29511e+07	-1.62132e+07	-2.18263e+07	-1.75788e+07	-1.70084e+07	-1.78943e+07	-9.76327e+06	-1.25158e+07	-9.74738e+06	-9.2581e+06	-3.90075e+06	-1.53634e+07	-1.54037e+07	-1.44945e+07	-1.23145e+07	-1.1289e+07	-1.63912e+07	-1.06091e+07	-6.64467e+06	-8.37104e+06	-7.18671e+06	-1.26665e+07	-7.88224e+06	-8.29738e+06	-8.65759e+06	-4.8035e+06	-9.45158e+06	1.05568e+10	0.0946348
16	1.14906e+10	-1.21656e+07	-2.99192e+07	-4.24554e+07	-4.99273e+07	-1.64961e+07	-2.75306e+07	-1.83951e+07	-1.04586e+07	-2.58674e+07	-1.5288e+07	-7.15414e+06	-1.13148e+07	-1.29398e+07	-1.4908e+07	-1.38574e+07	-2.29575e+07	-1.87562e+07	-1.54894e+07	-1.7155e+07	-1.32834e+07	-1.14592e+07	-7.07885e+06	-1.12659e+07	-1.55146e+07	-1.0564e+07	-1.38407e+07	-4.34307e+06	-1.38142e+07	-1.26544e+07	-6.49306e+06	-8.91595e+06	-8.26497e+06	-1.68734e+07	-1.45164e+07	-1.8966e+07	-1.40836e+07	-1.37783e+07	-1.05527e+07	-1.3591e+07	-1.58827e+07	-1.15561e+07	-1.18638e+07	-9.87235e+06	-8.03923e+06	-6.38252e+06	-6.14586e+06	-7.49144e+06	-1.28206e+07	-1.3202e+07	-1.26658e+07	-1.02952e+07	-9.34792e+06	-1.21767e+07	-9.68018e+06	-6.55284e+06	-7.66721e+06	-7.22577e+06	-7.77144e+06	-5.22853e+06	-9.17318e+06	-6.58204e+06	-5.89678e+06	-5.88721e+06	1.06483e+10	0.0791015
17	1.14267e+10	-1.01587e+07	-3.32873e+07	-4.00861e+07	-2.92614e+07	-1.67016e+07	-2.58849e+07	-1.03377e+07	-3.21805e+07	-1.79466e+07	-8.33034e+06	-1.09983e+07	-1.29961e+07	-1.77211e+07	-1.02901e+07	-2.03546e+07	-1.85853e+07	-1.45708e+07	-1.58182e+07	-8.79842e+06	-1.59142e+07	-9.70225e+06	-8.05393e+06	-8.18861e+06	-1.50571e+07	-5.36774e+06	-1.33137e+07	-3.31792e+06	-6.86136e+06	-1.09025e+07	-1.12905e+07	-5.95531e+06	-7.95486e+06	-1.87512e+07	-1.33048e+07	-2.0513e+07	-1.70433e+07	-1.23504e+07	-1.11894e+07	-1.71174e+07	-1.14574e+07	-1.2853e+07	-1.58493e+07	-7.41812e+06	-6.5189e+06	-7.0683e+06	-8.85086e+06	-3.66779e+06	-7.16199e+06	-1.35421e+07	-8.19364e+06	-1.15258e+07	-9.10119e+06	-1.10204e+07	-7.12265e+06	-4.09132e+06	-7.08405e+06	-7.4537e+06	-6.08356e+06	-5.47455e+06	-6.64274e+06	-4.09633e+06	-3.83594e+06	-3.78382e+06	1.06504e+10	0.0728945
18	1.14022e+10	-7.70623e+06	-3.22651e+07	-3.67714e+07	-3.22607e+07	-1.52843e+07	-1.68994e+07	-7.79125e+06	-1.75461e+07	-1.5665e+07	-9.86334e+06	-9.25148e+06	-1.36072e+07	-7.84791e+06	-1.43968e+07	-1.02702e+07	-1.46066e+07	-9.9366e+06	-1.53824e+07	-9.93457e+06	-1.47889e+07	-6.84781e+06	-8.48632e+06	-6.5247e+06	-1.37649e+07	-1.00079e+07	-1.77116e+07	-9.31783e+06	-5.94032e+06	-5.72508e+06	-6.21369e+06	-5.01775e+06	-8.86752e+06	-1.33483e+07	-9.31204e+06	-1.54821e+07	-9.87529e+06	-1.13251e+07	-1.70859e+07	-1.04749e+07	-9.30041e+06	-8.05028e+06	-7.84278e+06	-7.14672e+06	-6.57164e+06	-4.86575e+06	-5.34181e+06	-2.76104e+06	-6.16027e+06	-7.05115e+06	-8.29194e+06	-7.8117e+06	-5.96573e+06	-6.92611e+06	-5.06575e+06	-3.66414e+06	-4.37038e+06	-5.95925e+06	-3.72311e+06	-4.703e+06	-4.0225e+06	-3.82902e+06	-3.73984e+06	-4.56291e+06	1.07611e+10	0.0595787
19	1.136e+10	-7.85991e+06	-2.27117e+07	-3.80907e+07	-3.39616e+07	-1.29953e+07	-1.30384e+07	-4.00721e+06	-1.70242e+07	-8.50054e+06	-1.09252e+07	-7.20076e+06	-1.04856e+07	-8.87812e+06	-8.40306e+06	-6.26289e+06	-1.48722e+07	-1.27526e+07	-1.07883e+07	-1.12961e+07	-8.70715e+06	-5.49014e+06	-3.97691e+06	-5.38409e+06	-1.04489e+07	-6.30036e+06	-9.89924e+06	-5.23912e+06	-4.89159e+06	-3.93056e+06	-7.1791e+06	-8.06004e+06	-1.17949e+07	-1.39042e+07	-1.27563e+07	-1.44711e+07	-7.25332e+06	-1.10996e+07	-1.20229e+07	-1.20612e+07	-6.46264e+06	-7.24232e+06	-7.78022e+06	-5.4244e+06	-6.61335e+06	-4.68666e+06	-6.30151e+06	-2.45416e+06	-5.14528e+06	-8.94161e+06	-6.21121e+06	-7.59517e+06	-6.36678e+06	-6.09351e+06	-3.93395e+06	-4.00155e+06	-2.47821e+06	-3.53784e+06	-3.25086e+06	-2.44317e+06	-3.64103e+06	-2.9704e+06	-4.95997e+06	-2.21018e+06	1.08043e+10	0.0514306
20	1.13281e+10	-1.25136e+07	-2.5385e+07	-2.38335e+07	-2.17553e+07	-2.17234e+07	-7.54213e+06	-5.84202e+06	-2.7645e+07	-1.27942e+07	-8.36755e+06	-4.85709e+06	-7.45098e+06	-4.08263e+06	-2.23849e+06	-7.93422e+06	-1.02947e+07	-1.68244e+07	-1.30462e+07	-4.65555e+06	-5.94354e+06	-6.19969e+06	-2.08788e+06	-4.60144e+06	-1.27781e+07	-7.20438e+06	-1.24111e+07	-4.63563e+06	-3.88289e+06	-5.23841e+06	-7.41033e+06	-5.19375e+06	-8.37866e+06	-1.34578e+07	-9.4379e+06	-1.45907e+07	-7.32489e+06	-1.19721e+07	-8.63156e+06	-1.08732e+07	-5.07283e+06	-6.80192e+06	-5.13892e+06	-3.10747e+06	-4.06919e+06	-2.87161e+06	-4.72547e+06	-2.30223e+06	-5.30154e+06	-8.60084e+06	-5.58753e+06	-7.61307e+06	-6.78254e+06	-4.42973e+06	-5.64312e+06	-2.79551e+06	-3.17242e+06	-3.2432e+06	-3.23634e+06	-3.7759e+06	-2.89962e+06	-3.94035e+06	-4.35657e+06	-2.64631e+06	1.08189e+10	0.0470615
21	1.13091e+10	-1.48688e+07	-1.52717e+07	-2.44926e+07	-1.93677e+07	-1.05991e+07	-5.82393e+06	-3.49115e+06	-1.392e+07	-1.50285e+07	-6.7122e+06	-3.45322e+06	-4.68891e+06	-7.385e+06	-4.35667e+06	-7.64608e+06	-9.30956e+06	-1.40351e+07	-1.20862e+07	-9.36811e+06	-5.79755e+06	-2.7211e+06	-2.94362e+06	-3.23726e+06	-1.36006e+07	-6.55926e+06	-6.3415e+06	-5.21149e+06	-2.36523e+06	-4.85623e+06	-6.40497e+06	-4.16465e+06	-8.72332e+06	-1.25053e+07	-8.75405e+06	-9.13623e+06	-6.49546e+06	-9.42565e+06	-7.86953e+06	-9.15613e+06	-5.59582e+06	-9.61758e+06	-3.31109e+06	-2.79578e+06	-4.46821e+06	-4.2182e+06	-3.99432e+06	-2.83946e+06	-1.02783e+07	-1.05171e+07	-5.89826e+06	-7.7852e+06	-6.12156e+06	-5.21471e+06	-3.99127e+06	-3.19149e+06	-1.8024e+06	-2.17581e+06	-2.74082e+06	-5.26745e+06	-4.25171e+06	-3.0507e+06	-3.07116e+06	-1.92322e+06	1.08568e+10	0.0416601
22	1.12907e+10	-1.11501e+07	-5.99064e+06	-1.65115e+07	-1.14548e+07	-1.05246e+07	-6.06948e+06	-4.17613e+06	-1.70946e+07	-1.37782e+07	-5.53991e+06	-3.5036e+06	-3.18937e+06	-4.70157e+06	-2.32934e+06	-4.2186e+06	-9.3668e+06	-1.19995e+07	-1.25261e+07	-1.15761e+07	-4.29755e+06	-3.30802e+06	-1.88744e+06	-5.7712e+06	-6.94761e+06	-3.99635e+06	-7.81377e+06	-4.4082e+06	-3.33253e+06	-2.75329e+06	-6.3939e+06	-7.21229e+06	-7.81396e+06	-7.59361e+06	-6.83654e+06	-1.30664e+07	-6.21798e+06	-8.91288e+06	-8.12115e+06	-6.08827e+06	-4.07146e+06	-5.47084e+06	-4.6809e+06	-2.33048e+06	-2.33254e+06	-4.52551e+06	-4.29888e+06	-3.65729e+06	-6.25648e+06	-5.76168e+06	-4.38763e+06	-4.34365e+06	-4.34479e+06	-4.25612e+06	-3.82287e+06	-3.58052e+06	-2.19065e+06	-2.57504e+06	-2.97342e+06	-1.88068e+06	-3.2353e+06	-4.90936e+06	-3.53621e+06	-1.42114e+06	1.09114e+10	0.0347635
23	1.12729e+10	-6.50754e+06	-9.00148e+06	-8.10791e+06	-1.24366e+07	-2.15063e+07	-4.01802e+06	-4.80022e+06	-1.79e+07	-9.70095e+06	-4.74233e+06	-2.38949e+06	-4.18447e+06	-1.64724e+06	-4.79341e+06	-9.73279e+06	-1.03496e+07	-1.05612e+07	-8.80041e+06	-1.04356e+07	-5.6451e+06	-3.6256e+06	-2.53406e+06	-5.06571e+06	-8.83929e+06	-7.48299e+06	-5.78534e+06	-3.99037e+06	-1.19333e+06	-2.63e+06	-6.13132e+06	-5.61114e+06	-6.81279e+06	-7.52741e+06	-7.06451e+06	-9.08645e+06	-9.52279e+06	-7.5837e+06	-6.93198e+06	-5.69489e+06	-3.51453e+06	-5.76935e+06	-3.44167e+06	-3.5971e+06	-2.67867e+06	-4.06839e+06	-3.17108e+06	-2.09582e+06	-5.89977e+06	-5.85911e+06	-6.8825e+06	-4.4292e+06	-4.81218e+06	-3.53544e+06	-3.74173e+06	-1.82969e+06	-2.22063e+06	-2.56468e+06	-2.30524e+06	-2.69106e+06	-1.6493e+06	-3.29406e+06	-3.53822e+06	-2.39355e+06	1.09114e+10	0.0331312
