Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	LB	Gap
1	1.59266e+10	-8.08639e+09	-530515	-632946	-342401	-303746	-321650	-319259	-207945	-143344	-156560	-163883	-161187	-138372	-174461	-134041	-164051	-100322	-90212	-74271.9	-115393	-114769	-96168.2	-86879.3	-93009.2	-94734.6	-83291	-80124.9	-89940	-79401	-78140.4	-75149.9	-73583	-73555.9	-77981	-48830	-76342.7	-61939	-59374.4	-51507.6	-74144.8	-56436.7	-64292.1	-36775.6	-53580.8	-33331.5	-41729	-46654.9	-73321.8	-53844.7	-53671.8	-46325.8	-54303.9	-47028.4	-46665.9	-32940.8	-54586.7	-56718	-49774.7	-33219.5	-43675.6	-40098.4	-44363	-35670.4	7.83323e+09	1.03321
2	1.59264e+10	-5.23399e+08	-1.7111e+10	-1.74153e+10	-1.27474e+10	-1.21811e+10	-1.21376e+10	-1.22426e+10	-1.10881e+10	-1.08496e+10	-1.10885e+10	-1.12599e+10	-1.15036e+10	-1.12692e+10	-1.16346e+10	-1.2214e+10	-1.04016e+10	-1.06541e+10	-1.06921e+10	-1.08331e+10	-1.05733e+10	-1.07379e+10	-1.08455e+10	-1.10455e+10	-1.0912e+10	-1.09666e+10	-1.05956e+10	-1.07379e+10	-1.08925e+10	-1.09277e+10	-1.10592e+10	-1.14966e+10	-73583	-74489.4	-80499.2	-50187.2	-76560.4	-63295.3	-58497.4	-53401.7	-74144.8	-56670.7	-64611.7	-39158.7	-51729.9	-33931	-43672.7	-47382.1	-73321.8	-53843.5	-54412.8	-46463.1	-54269.1	-46027.9	-47041	-34098.1	-54593.4	-55625.9	-49889.8	-33257.5	-44338.6	-42584	-33998.8	-35956.7	7.83323e+09	1.03318
3	1.58019e+10	-1.57081e+08	-2.70026e+10	-4.01567e+10	-5.22567e+10	-3.2185e+10	-3.8111e+10	-2.66459e+10	-4.9651e+10	-2.41396e+10	-2.99786e+10	-3.12068e+10	-3.27041e+10	-2.93316e+10	-3.48268e+10	-2.70175e+10	-4.18593e+10	-3.75345e+10	-4.0314e+10	-2.95714e+10	-3.62505e+10	-3.22153e+10	-2.93885e+10	-2.92223e+10	-3.84998e+10	-2.78357e+10	-3.06372e+10	-2.93935e+10	-3.67144e+10	-2.26097e+10	-2.82427e+10	-2.38873e+10	-3.34998e+07	-3.50467e+07	-7.43538e+07	-7.26031e+07	-7.92027e+07	-8.37319e+07	-5.24725e+07	-4.81923e+07	-7.96966e+07	-7.96097e+07	-1.09724e+08	-1.08841e+08	-1.09583e+08	-1.06649e+08	-7.47995e+07	-6.93846e+07	-4.87978e+07	-4.68516e+07	-4.99721e+07	-4.55438e+07	-5.18188e+07	-4.82887e+07	-4.66758e+07	-4.1708e+07	-3.71914e+07	-3.38703e+07	-7.58917e+07	-7.03159e+07	-7.62729e+07	-7.07281e+07	-7.02081e+07	-6.46887e+07	7.83323e+09	1.01729
4	1.47118e+10	-1.39974e+08	-1.30297e+08	-1.20891e+08	-9.14363e+07	-1.08864e+08	-8.26258e+07	-5.24347e+07	-7.8259e+07	-4.83284e+07	-4.49566e+07	-5.54883e+07	-3.58551e+07	-2.85241e+07	-2.44313e+07	-2.69625e+07	-1.40592e+09	-4.6299e+08	-4.04036e+07	-2.31981e+07	-5.49824e+07	-4.60059e+07	-4.90375e+07	-1.44614e+07	-4.25692e+07	-2.19175e+07	-3.04454e+07	-1.39603e+07	-2.82023e+07	-1.44679e+07	-1.47223e+07	-1.29335e+07	-7.02316e+07	-8.79698e+09	-8.98603e+09	-8.63661e+09	-9.66531e+09	-8.66254e+09	-7.54534e+09	-8.37395e+09	-8.6138e+07	-8.92625e+09	-9.27607e+09	-8.99045e+09	-9.25439e+09	-8.70854e+09	-8.28547e+09	-8.38262e+09	-9.5145e+07	-8.40749e+09	-8.37797e+09	-7.85367e+09	-8.70098e+09	-8.77062e+09	-8.37712e+09	-8.40589e+09	-9.03341e+09	-9.2971e+09	-8.40439e+09	-8.34254e+09	-8.37195e+09	-8.3592e+09	-8.38345e+09	-8.38367e+09	7.83323e+09	0.878133
5	1.35301e+10	-1.32273e+08	-6.90744e+07	-1.75001e+08	-4.1082e+07	-1.03435e+08	-1.29999e+08	-8.12261e+07	-5.74478e+07	-2.08949e+07	-3.28374e+07	-3.43427e+07	-6.17052e+07	-1.14843e+08	-5.33965e+07	-6.41892e+07	-1.31031e+08	-5.94491e+07	-7.74922e+07	-5.79937e+07	-6.63862e+07	-2.93185e+07	-6.4651e+07	-2.44838e+07	-5.7728e+07	-3.31505e+07	-4.03618e+07	-1.78745e+07	-5.75214e+07	-2.99039e+07	-2.44824e+07	-2.44314e+07	-3.69134e+09	-8.0974e+08	-7.83339e+08	-5.64807e+08	-7.88446e+08	-2.99336e+08	-2.90758e+08	-4.36747e+07	-3.15625e+09	-2.94973e+08	-3.00537e+08	-2.55174e+07	-3.09741e+08	-3.21603e+07	-1.16339e+08	-4.00736e+07	-2.75709e+09	-5.30918e+08	-2.82448e+08	-3.95266e+07	-2.86313e+08	-3.05134e+07	-5.32696e+07	-2.40662e+07	-7.51061e+08	-5.18055e+08	-3.89686e+07	-1.68136e+07	-3.81962e+07	-1.73814e+07	-1.7426e+07	-1.5029e+07	7.83323e+09	0.727266
6	1.30505e+10	-1.78861e+08	-1.5211e+08	-1.48255e+08	-5.80417e+07	-7.82602e+07	-1.29209e+08	-1.02065e+08	-8.68475e+07	-4.06909e+07	-3.18552e+07	-2.56461e+07	-7.58379e+07	-1.40718e+08	-3.64768e+07	-5.96969e+07	-1.16639e+08	-4.55269e+07	-6.83688e+07	-6.32525e+07	-3.43972e+07	-2.47267e+07	-2.86806e+07	-4.45475e+07	-2.87413e+07	-3.8523e+07	-3.16808e+07	-2.02143e+07	-6.14446e+07	-3.15146e+07	-6.51356e+07	-3.50883e+07	-6.5798e+08	-2.77961e+08	-2.54498e+08	-4.08128e+07	-2.45623e+08	-2.34102e+07	-4.49038e+07	-3.66347e+07	-2.4528e+08	-5.22322e+07	-6.01755e+07	-3.8262e+07	-5.75736e+07	-4.67097e+07	-9.95499e+07	-3.89861e+07	-2.38456e+08	-6.67178e+07	-6.08018e+07	-5.54506e+07	-5.18063e+07	-3.21978e+07	-5.41664e+07	-2.64401e+07	-7.43851e+07	-4.70938e+07	-4.17122e+07	-1.81437e+07	-4.52381e+07	-1.53677e+07	-1.80092e+07	-1.21694e+07	7.88866e+09	0.654332
7	1.2729e+10	-2.12406e+08	-9.39721e+07	-1.37642e+08	-4.47723e+07	-7.48679e+07	-1.27688e+08	-5.81676e+07	-5.90165e+07	-5.60012e+07	-5.23617e+07	-1.29143e+08	-8.09047e+07	-3.83899e+07	-2.87161e+07	-4.20809e+07	-3.61308e+07	-3.00289e+07	-3.17034e+07	-2.26771e+07	-5.44938e+07	-3.20993e+07	-1.7147e+07	-1.3081e+07	-2.87629e+07	-2.32691e+07	-4.25808e+07	-1.63879e+07	-5.72469e+07	-3.09473e+07	-3.49668e+07	-1.55876e+07	-3.44213e+08	-2.94329e+07	-5.50545e+07	-6.59766e+07	-3.81373e+07	-3.91249e+07	-4.57466e+07	-4.4055e+07	-5.19697e+07	-5.31309e+07	-4.08659e+07	-2.69712e+07	-2.88491e+07	-3.63287e+07	-3.10313e+07	-3.04644e+07	-4.08767e+07	-5.38219e+07	-4.43724e+07	-2.47401e+07	-4.19272e+07	-3.76217e+07	-7.1274e+07	-3.1739e+07	-6.79018e+07	-1.90147e+07	-5.37346e+07	-1.47273e+07	-4.48774e+07	-1.58324e+07	-1.6268e+07	-1.31211e+07	9.45256e+09	0.34662
8	1.24803e+10	-1.03825e+08	-8.14352e+07	-9.04078e+07	-9.81518e+07	-8.38346e+07	-5.35646e+07	-7.31718e+07	-4.73796e+07	-3.64664e+07	-2.81217e+07	-6.29812e+07	-7.44033e+07	-6.96081e+07	-4.86234e+07	-6.3936e+07	-4.25564e+07	-4.10616e+07	-2.49979e+07	-2.11804e+07	-3.16395e+07	-2.6523e+07	-1.96244e+07	-2.41563e+07	-2.63096e+07	-2.97038e+07	-2.39947e+07	-3.28822e+07	-4.03945e+07	-2.00327e+07	-2.55403e+07	-2.12695e+07	-3.44033e+07	-3.02559e+07	-5.6228e+07	-3.45828e+07	-3.74332e+07	-3.4312e+07	-3.63609e+07	-4.18823e+07	-3.86858e+07	-5.06912e+07	-4.1611e+07	-4.68544e+07	-4.04113e+07	-4.72155e+07	-3.22723e+07	-2.34558e+07	-4.37935e+07	-3.15579e+07	-6.80733e+07	-1.94098e+07	-5.32041e+07	-3.31091e+07	-3.78672e+07	-2.29128e+07	-3.76899e+07	-2.30272e+07	-4.11726e+07	-7.099e+06	-5.40246e+07	-1.16628e+07	-7.76316e+06	-5.57056e+06	9.88796e+09	0.262174
9	1.22857e+10	-1.19349e+08	-5.44623e+07	-6.97575e+07	-9.21429e+07	-8.53582e+07	-4.8041e+07	-6.47329e+07	-3.40612e+07	-2.77846e+07	-3.58869e+07	-2.84879e+07	-2.95213e+07	-2.71581e+07	-2.34551e+07	-4.91633e+07	-2.16257e+07	-5.98176e+07	-1.36234e+07	-3.10737e+07	-3.259e+07	-4.17546e+07	-1.89906e+07	-3.20955e+07	-4.52642e+07	-3.34867e+07	-2.96949e+07	-4.84805e+07	-3.64312e+07	-1.78385e+07	-1.31044e+07	-1.33568e+07	-3.56366e+07	-4.21614e+07	-3.35006e+07	-2.39792e+07	-3.20754e+07	-2.36209e+07	-3.56705e+07	-1.36633e+07	-3.01926e+07	-3.7645e+07	-3.14223e+07	-3.26855e+07	-2.7575e+07	-2.60028e+07	-3.26095e+07	-1.60052e+07	-4.98163e+07	-2.84087e+07	-3.59233e+07	-1.84376e+07	-3.32283e+07	-2.92783e+07	-2.98574e+07	-2.151e+07	-4.08278e+07	-2.22153e+07	-2.41672e+07	-1.19896e+07	-2.4084e+07	-1.32001e+07	-9.76262e+06	-1.05357e+07	1.01295e+10	0.212872
10	1.21489e+10	-7.72816e+07	-5.61455e+07	-6.06046e+07	-3.70173e+07	-5.16794e+07	-4.45899e+07	-8.29044e+07	-3.27617e+07	-6.61968e+07	-4.06413e+07	-2.94464e+07	-3.40614e+07	-3.21723e+07	-9.55495e+06	-4.10975e+07	-1.64581e+07	-3.56183e+07	-1.97259e+07	-2.9875e+07	-2.17687e+07	-4.30809e+07	-2.19688e+07	-2.55259e+07	-4.63037e+07	-3.8805e+07	-8.13775e+06	-1.93719e+07	-3.04864e+07	-1.88143e+07	-2.33697e+07	-1.76224e+07	-2.19678e+07	-3.76107e+07	-3.9428e+07	-4.00175e+07	-3.80163e+07	-2.63466e+07	-3.27555e+07	-1.81523e+07	-3.05606e+07	-3.16531e+07	-2.5606e+07	-2.02254e+07	-2.05213e+07	-2.14448e+07	-3.24681e+07	-8.73465e+06	-2.81838e+07	-1.89362e+07	-2.03706e+07	-2.95528e+07	-2.04464e+07	-2.37585e+07	-2.95923e+07	-1.86071e+07	-3.08631e+07	-2.45192e+07	-2.39896e+07	-1.56817e+07	-2.06399e+07	-1.63713e+07	-8.13958e+06	-7.689e+06	1.02529e+10	0.184917
