Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	LB	Gap
21	7.21073e+09	-1.90649e+07	-9.06157e+06	-1.12637e+07	-1.19758e+07	-1.83065e+07	-1.36213e+07	-2.71382e+07	-1.75725e+07	-2.33074e+07	-1.45943e+07	-2.94825e+07	-1.95141e+07	-2.01404e+07	-3.05554e+07	-1.63649e+07	6.92876e+09	0.0406946
22	7.20589e+09	-1.94938e+07	-1.42625e+07	-1.3443e+07	-1.43026e+07	-1.55562e+07	-2.76068e+07	-2.10904e+07	-1.77068e+07	-2.11833e+07	-9.80763e+06	-1.57582e+07	-2.47199e+07	-2.77534e+07	-1.78165e+07	-1.21473e+07	6.93324e+09	0.0393248
23	7.20045e+09	-2.10712e+07	-8.80492e+06	-1.39145e+07	-1.00051e+07	-1.79412e+07	-2.82735e+07	-1.15115e+07	-1.65228e+07	-2.6092e+07	-1.00353e+07	-2.38621e+07	-1.45091e+07	-2.35733e+07	-2.43321e+07	-1.15305e+07	6.93848e+09	0.0377574
24	7.19349e+09	-2.07724e+07	-1.05329e+07	-1.31616e+07	-1.33711e+07	-1.11302e+07	-2.22558e+07	-1.73491e+07	-1.69724e+07	-1.29307e+07	-1.62127e+07	-2.42306e+07	-9.74709e+06	-1.52666e+07	-1.84489e+07	-1.59813e+07	6.95513e+09	0.0342716
25	7.18773e+09	-1.38913e+07	-7.87587e+06	-1.50432e+07	-1.6456e+07	-2.78131e+07	-1.75833e+07	-1.39668e+07	-1.00451e+07	-1.72116e+07	-9.08421e+06	-1.62188e+07	-8.89785e+06	-2.48493e+07	-1.30912e+07	-1.47943e+07	6.96091e+09	0.0325851
26	7.17854e+09	-2.43355e+07	-6.83262e+06	-1.33519e+07	-1.97759e+07	-2.54421e+07	-1.27943e+07	-1.7912e+07	-6.1338e+06	-1.51565e+07	-8.87621e+06	-2.12913e+07	-2.08073e+07	-1.29491e+07	-1.95723e+07	-1.48347e+07	6.96091e+09	0.0312657
27	7.17215e+09	-2.14872e+07	-1.94659e+07	-7.74966e+06	-1.63494e+07	-1.58074e+07	-1.0828e+07	-1.11166e+07	-1.00022e+07	-1.51708e+07	-7.31939e+06	-1.5791e+07	-1.38411e+07	-1.90598e+07	-2.18601e+07	-1.77991e+07	6.96091e+09	0.0303477
28	7.16552e+09	-1.14975e+07	-8.76107e+06	-1.23687e+07	-2.20511e+07	-1.26387e+07	-1.52872e+07	-1.67124e+07	-7.89561e+06	-1.54297e+07	-5.29364e+06	-1.36803e+07	-1.35167e+07	-1.70463e+07	-1.86011e+07	-2.90419e+07	6.96091e+09	0.0293944
29	7.16088e+09	-1.10181e+07	-1.07112e+07	-1.31344e+07	-2.25914e+07	-1.55121e+07	-1.61745e+07	-1.21403e+07	-7.25252e+06	-1.30138e+07	-9.74261e+06	-1.54928e+07	-7.07453e+06	-1.71008e+07	-1.03077e+07	-1.57219e+07	6.96389e+09	0.0282871
30	7.15546e+09	-7.18521e+06	-1.53706e+07	-1.33028e+07	-1.31559e+07	-1.20196e+07	-1.22948e+07	-1.23263e+07	-5.75219e+06	-1.32953e+07	-5.03094e+06	-1.54684e+07	-1.21679e+07	-1.78959e+07	-1.12923e+07	-1.41517e+07	6.97475e+09	0.0259091
31	7.15183e+09	-6.57652e+06	-8.88812e+06	-1.13233e+07	-1.85146e+07	-1.19889e+07	-1.41738e+07	-1.63964e+07	-5.12133e+06	-1.36454e+07	-9.64252e+06	-1.83412e+07	-6.14017e+06	-1.2091e+07	-1.28966e+07	-1.43385e+07	6.97475e+09	0.0253876
