Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	LB	Gap
11	1.19063e+10	-8.46438e+07	-8.96875e+07	-5.91021e+07	-3.5544e+07	-3.6013e+07	-3.11164e+07	-7.34568e+07	-3.05105e+07	-2.79639e+07	-3.25441e+07	-3.05559e+07	-4.29349e+07	-1.36803e+07	-2.6177e+07	-3.32021e+07	-2.70228e+07	-3.13871e+07	-2.35252e+07	-2.4738e+07	-2.19569e+07	-2.75964e+07	-1.31622e+07	-1.51814e+07	-2.53538e+07	-2.1857e+07	-2.84349e+07	-1.94047e+07	-1.53637e+07	-1.06692e+07	-1.73413e+07	-1.66616e+07	-2.13841e+07	-3.14491e+07	-3.5217e+07	-1.4429e+07	-4.04953e+07	-2.18707e+07	-1.79416e+07	-2.21319e+07	-2.22247e+07	-2.54815e+07	-2.95936e+07	-1.8014e+07	-1.84992e+07	-2.27353e+07	-1.55826e+07	-1.86198e+07	-2.96974e+07	-2.81523e+07	-2.26597e+07	-1.92347e+07	-2.85434e+07	-2.72908e+07	-1.95999e+07	-1.8368e+07	-2.30711e+07	-2.21975e+07	-1.75988e+07	-2.42867e+07	-1.74605e+07	-2.31363e+07	-1.25132e+07	-9.36447e+06	1.02007e+10	0.167208
12	1.17997e+10	-6.73406e+07	-5.99578e+07	-3.36675e+07	-3.4826e+07	-5.87913e+07	-4.09427e+07	-4.66496e+07	-1.88709e+07	-4.03677e+07	-3.22207e+07	-1.87693e+07	-1.82916e+07	-2.0689e+07	-3.17646e+07	-3.41248e+07	-2.72694e+07	-1.7085e+07	-1.96402e+07	-1.91344e+07	-1.86541e+07	-1.5387e+07	-1.01293e+07	-2.13663e+07	-2.17883e+07	-2.7583e+07	-2.1802e+07	-1.33885e+07	-1.78084e+07	-1.57347e+07	-1.13216e+07	-1.38878e+07	-1.05406e+07	-2.21547e+07	-1.89007e+07	-2.51043e+07	-2.00151e+07	-2.71143e+07	-2.42953e+07	-2.14023e+07	-2.77702e+07	-2.21789e+07	-2.07912e+07	-1.38815e+07	-1.28403e+07	-1.22606e+07	-9.41468e+06	-1.43693e+07	-2.87512e+07	-2.08941e+07	-2.24153e+07	-1.53701e+07	-1.80896e+07	-1.68015e+07	-1.42173e+07	-9.06083e+06	-2.00596e+07	-1.7084e+07	-1.49261e+07	-2.14718e+07	-1.60248e+07	-8.73935e+06	-7.76432e+06	-4.54358e+06	1.03912e+10	0.135547
13	1.1651e+10	-5.75361e+07	-3.36125e+07	-5.21038e+07	-5.37767e+07	-4.34512e+07	-2.69289e+07	-2.9627e+07	-2.28319e+07	-3.00748e+07	-2.07843e+07	-1.98899e+07	-2.10712e+07	-1.51243e+07	-2.84996e+07	-2.82294e+07	-3.20575e+07	-1.88794e+07	-1.86573e+07	-2.07489e+07	-2.01189e+07	-1.58417e+07	-1.23795e+07	-3.63653e+07	-2.50083e+07	-2.23753e+07	-1.62739e+07	-1.24548e+07	-1.37026e+07	-8.08273e+06	-1.64915e+07	-1.45906e+07	-1.62431e+07	-1.77697e+07	-1.31896e+07	-2.73303e+07	-1.61207e+07	-1.77475e+07	-2.13745e+07	-1.49404e+07	-1.15245e+07	-9.73776e+06	-1.45755e+07	-1.75493e+07	-1.45498e+07	-8.49166e+06	-1.15029e+07	-1.24286e+07	-1.25715e+07	-2.67584e+07	-1.54846e+07	-1.57186e+07	-1.25678e+07	-1.54301e+07	-1.46819e+07	-6.68937e+06	-1.3103e+07	-2.27862e+07	-1.22282e+07	-1.12662e+07	-9.40804e+06	-6.75059e+06	-7.00881e+06	-4.35643e+06	1.04115e+10	0.119047
14	1.15973e+10	-5.27396e+07	-2.72779e+07	-1.66333e+07	-4.10195e+07	-3.75268e+07	-2.47019e+07	-3.49335e+07	-1.07003e+07	-1.72602e+07	-2.42854e+07	-1.15591e+07	-9.39112e+06	-1.65337e+07	-2.30136e+07	-1.91977e+07	-2.17277e+07	-1.82774e+07	-2.08227e+07	-1.46749e+07	-1.81524e+07	-1.13341e+07	-1.50038e+07	-1.90183e+07	-2.49254e+07	-1.84206e+07	-1.47003e+07	-1.23082e+07	-1.30169e+07	-9.18714e+06	-1.1713e+07	-8.85817e+06	-7.44446e+06	-8.49348e+06	-1.1062e+07	-1.85363e+07	-8.34773e+06	-2.14381e+07	-1.10378e+07	-1.04652e+07	-7.30911e+06	-7.06366e+06	-8.75262e+06	-1.06194e+07	-7.64841e+06	-7.69048e+06	-1.05328e+07	-1.04819e+07	-1.32202e+07	-2.31704e+07	-1.67273e+07	-1.14998e+07	-8.69262e+06	-1.14445e+07	-9.73781e+06	-7.04725e+06	-1.08841e+07	-1.64468e+07	-1.45863e+07	-5.68212e+06	-8.48431e+06	-6.92482e+06	-8.57395e+06	-4.04999e+06	1.06343e+10	0.090557
15	1.15455e+10	-5.90327e+07	-1.7373e+07	-2.2885e+07	-4.65201e+07	-4.02126e+07	-1.4865e+07	-2.91531e+07	-3.29859e+07	-1.79216e+07	-2.27886e+07	-1.05323e+07	-1.49888e+07	-1.68598e+07	-2.28522e+07	-2.58232e+07	-1.9843e+07	-1.30703e+07	-1.00105e+07	-1.31252e+07	-1.95133e+07	-1.24865e+07	-1.34714e+07	-1.22444e+07	-2.69374e+07	-1.44713e+07	-1.51989e+07	-8.31843e+06	-1.40759e+07	-7.93629e+06	-1.3193e+07	-9.60601e+06	-1.05862e+07	-1.14893e+07	-1.07013e+07	-1.6416e+07	-6.15225e+06	-1.66923e+07	-1.14816e+07	-8.57737e+06	-1.11673e+07	-1.12226e+07	-1.29137e+07	-9.25546e+06	-8.36513e+06	-5.46739e+06	-8.11471e+06	-7.35989e+06	-8.97257e+06	-1.75479e+07	-1.41657e+07	-8.70451e+06	-7.50395e+06	-1.3299e+07	-9.35851e+06	-8.46265e+06	-8.98808e+06	-1.50167e+07	-1.43265e+07	-7.7531e+06	-1.10642e+07	-3.84195e+06	-5.96136e+06	-2.36017e+06	1.06343e+10	0.0856889
16	1.149e+10	-1.29224e+07	-1.55348e+07	-1.95219e+07	-2.80765e+07	-2.11867e+07	-1.31914e+07	-2.1919e+07	-2.33298e+07	-2.3827e+07	-1.45295e+07	-1.10955e+07	-1.32543e+07	-1.00448e+07	-1.66349e+07	-2.17842e+07	-2.14157e+07	-1.26684e+07	-1.16577e+07	-1.40352e+07	-1.42333e+07	-9.78278e+06	-9.39531e+06	-7.96343e+06	-2.07414e+07	-1.29374e+07	-8.54791e+06	-1.3209e+07	-1.11349e+07	-6.28776e+06	-9.93341e+06	-3.82771e+06	-6.57447e+06	-1.50006e+07	-1.0209e+07	-1.54966e+07	-6.12387e+06	-1.45957e+07	-1.02843e+07	-6.53087e+06	-7.41642e+06	-9.43148e+06	-8.67558e+06	-8.59028e+06	-7.43939e+06	-6.36694e+06	-6.28775e+06	-6.79072e+06	-9.73452e+06	-1.6944e+07	-1.24361e+07	-5.50358e+06	-6.02598e+06	-9.04736e+06	-8.40929e+06	-5.16786e+06	-8.1966e+06	-1.09335e+07	-8.70119e+06	-5.04337e+06	-6.71362e+06	-4.10891e+06	-5.10934e+06	-1.42636e+06	1.07661e+10	0.0672425
17	1.1437e+10	-2.1482e+07	-1.61772e+07	-1.4245e+07	-1.63287e+07	-2.01362e+07	-9.44281e+06	-1.91429e+07	-1.80161e+07	-1.6956e+07	-9.59347e+06	-9.90856e+06	-1.24415e+07	-9.52107e+06	-7.17856e+06	-1.26794e+07	-1.56783e+07	-1.3577e+07	-1.10157e+07	-8.54105e+06	-1.39484e+07	-9.56402e+06	-8.7375e+06	-1.33987e+07	-1.65163e+07	-1.13661e+07	-7.91673e+06	-1.05437e+07	-1.14295e+07	-1.17596e+07	-9.02529e+06	-6.28524e+06	-8.05222e+06	-1.19967e+07	-7.79388e+06	-1.32852e+07	-8.36203e+06	-1.21619e+07	-1.08166e+07	-4.83142e+06	-1.295e+07	-8.29558e+06	-8.50718e+06	-9.60726e+06	-6.4098e+06	-5.92856e+06	-4.84866e+06	-4.6695e+06	-7.82224e+06	-1.13782e+07	-1.06602e+07	-1.0182e+07	-5.30018e+06	-8.70269e+06	-8.45042e+06	-5.13922e+06	-5.92192e+06	-6.35904e+06	-6.67551e+06	-2.5577e+06	-4.27514e+06	-3.48332e+06	-4.15618e+06	-934569	1.08039e+10	0.0585961
18	1.13936e+10	-1.57037e+07	-1.90854e+07	-2.65214e+07	-1.4581e+07	-1.56224e+07	-9.79837e+06	-9.24126e+06	-1.35215e+07	-1.47267e+07	-7.42624e+06	-1.10952e+07	-1.17383e+07	-4.97422e+06	-6.31936e+06	-8.15252e+06	-1.58519e+07	-1.47446e+07	-1.02991e+07	-6.39193e+06	-1.23369e+07	-6.99367e+06	-5.00689e+06	-7.46049e+06	-1.15289e+07	-5.56945e+06	-5.63798e+06	-1.07078e+07	-1.14061e+07	-5.41656e+06	-7.35656e+06	-4.1626e+06	-6.88096e+06	-1.26978e+07	-6.7582e+06	-1.14376e+07	-1.63968e+07	-9.55598e+06	-8.28829e+06	-4.01756e+06	-8.91444e+06	-1.11999e+07	-6.19129e+06	-8.11771e+06	-7.19541e+06	-4.48647e+06	-3.51238e+06	-3.59817e+06	-8.09576e+06	-7.12614e+06	-9.52727e+06	-6.74472e+06	-5.50527e+06	-5.22781e+06	-6.58652e+06	-7.53145e+06	-7.71376e+06	-7.19914e+06	-4.27533e+06	-2.4988e+06	-2.46123e+06	-3.45755e+06	-4.12289e+06	-4.17567e+06	1.08427e+10	0.0508063
19	1.13722e+10	-1.43942e+07	-1.25629e+07	-2.0985e+07	-2.04524e+07	-2.03352e+07	-1.50781e+07	-8.13196e+06	-2.3232e+07	-1.30928e+07	-9.34008e+06	-6.61971e+06	-8.13269e+06	-7.89079e+06	-8.21423e+06	-8.40349e+06	-1.58583e+07	-1.2274e+07	-7.90197e+06	-6.13966e+06	-7.11663e+06	-5.80707e+06	-5.38297e+06	-6.83098e+06	-8.37513e+06	-4.81404e+06	-5.06645e+06	-8.2848e+06	-7.50236e+06	-4.77802e+06	-7.56497e+06	-4.20551e+06	-7.75126e+06	-9.85755e+06	-7.38728e+06	-1.44214e+07	-6.06514e+06	-8.83378e+06	-6.23307e+06	-6.04454e+06	-8.05844e+06	-8.61067e+06	-7.18905e+06	-7.85873e+06	-6.1446e+06	-3.56314e+06	-4.17779e+06	-3.64524e+06	-7.83179e+06	-8.36548e+06	-7.74715e+06	-5.97889e+06	-5.92487e+06	-4.65519e+06	-6.99877e+06	-5.19793e+06	-5.20048e+06	-6.09896e+06	-3.13545e+06	-2.49249e+06	-3.40529e+06	-4.19131e+06	-2.91308e+06	-2.18087e+06	1.08593e+10	0.047234
20	1.13488e+10	-2.00508e+07	-1.78341e+07	-1.95865e+07	-1.63356e+07	-1.16135e+07	-1.08028e+07	-6.74123e+06	-1.734e+07	-7.98685e+06	-8.60998e+06	-5.1105e+06	-9.39961e+06	-5.28791e+06	-8.88488e+06	-7.33568e+06	-2.26793e+07	-1.00675e+07	-5.29958e+06	-4.91385e+06	-8.57336e+06	-9.25981e+06	-9.41097e+06	-4.79796e+06	-6.59161e+06	-3.98904e+06	-4.02222e+06	-7.46232e+06	-5.63981e+06	-5.02181e+06	-9.65738e+06	-4.31222e+06	-6.84671e+06	-1.14953e+07	-7.17049e+06	-1.05965e+07	-6.84808e+06	-7.9903e+06	-8.80972e+06	-8.1286e+06	-7.56115e+06	-4.74447e+06	-5.77008e+06	-5.88668e+06	-5.21088e+06	-5.51507e+06	-3.48024e+06	-4.26519e+06	-6.04137e+06	-8.16632e+06	-6.5663e+06	-6.86655e+06	-4.30959e+06	-4.09499e+06	-4.89685e+06	-6.17363e+06	-4.00365e+06	-5.47403e+06	-2.96184e+06	-2.93725e+06	-2.68376e+06	-2.74863e+06	-4.28807e+06	-4.19043e+06	1.08674e+10	0.0442921
